Idproyecto;año;fondo;instrumento;provincia;prov1;prov2;prov3;prov4;prov5;prov6;localidad;titulo;destinatario;otraentidad;areatematicanormalizada;montonominal;montorealBase2008;;
1188;2004;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Informatización de la historia clínica única en pacientes del Hospital J. C. Perrando de la Ciudad de Resistencia;Ministerio de Salud Publica de la Provincia de CHACO;Provincia de Chaco;Desarrollo productivo local;$ 78,000; $ 138,559 ;;
1189;2004;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Desarrollo de un centro para el mejoramiento de la calidad de las mieles en la Pcia. del CHACO;UTN - Facultad Regional Reconquista ;Provincia de Chaco;Desarrollo productivo local;$ 62,900; $ 111,736 ;;
1190;2004;COFECyT;PFIP ;CHUBUT;CHUBUT;;;;;;;Transferencia a escala piloto industrial de la utilización de ensilado de pescado en elaboración de alimento balanceado para animales;Interpesca SA ;Provincia de Chubut;Desarrollo productivo local;$ 239,227; $ 424,964 ;;
1191;2004;COFECyT;PFIP ;CHUBUT;CHUBUT;;;;;;;Modelos de desarrollo forestal para la diversificación de los sistemas agrarios del noroeste de Chubut;Centro de Investigación y Desarrollo Forestal Andino Patagonico (CIEFAP) ;Provincia de Chubut;Desarrollo productivo local;$ 110,773; $ 196,778 ;;
1192;2004;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Flora medicinal de Córdoba: bases para la domesticación de especies nativas ;Agencia Córdoba Ciencia S.E. ;Provincia de Córdoba;Desarrollo productivo local;$ 137,750; $ 244,700 ;;
1193;2004;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Desarrollo de productos y procesos para la industria del cuero, manufactura del cuero e impacto ambiental;Ministerio de Producción y Trabajo – Secretaría de Agricultura – Agencia Córdoba Ciencia;Provincia de Córdoba;Desarrollo productivo local;$ 119,459; $ 212,207 ;;
1194;2004;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Producción de especies aromáticas, planta de elaboración y envasado de productos congelados deshidratados;Cooperativa Agropecuaria Aromet Ltda. ;Provincia de Córdoba;Desarrollo productivo local;$ 80,074; $ 142,244 ;;
1195;2004;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Caracterización y preservación de germoplasma de apis melífera en la región noroeste de la Provincia de Corrientes;Universidad Nacional del Nordeste ;Provincia de Corrientes;Desarrollo productivo local;$ 124,808; $ 221,709 ;;
1196;2004;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Calidad de carne de pescado, iguana, carpinchos, búfalo como alternativas productivas sustentables para el noroeste argentino. Pautas para potenciar su exportación;Universidad Nacional del Nordeste ;Provincia de Corrientes;Desarrollo productivo local;$ 99,539; $ 176,821 ;;
1197;2004;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Sistema de alerta de enfermedades vectoriales en áreas de frontera de la Provincia de Corrientes. Alerta dengue 2004;Ministerio de Salud Pública de la Provincia de Corrientes ;Provincia de Corrientes;Desarrollo productivo local;$ 119,912; $ 213,012 ;;
1198;2004;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Determinación de calidad fitosanitaria de mieles del departamento de Gualeguaychu;Instituto Nacional de Tecnologia Industrial (INTI) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 48,087; $ 85,422 ;;
1199;2004;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Caracterización y tipificación de miel y propóleos de producción entrerriana para su comercialización diferenciada;Universidad Nacional de Entre Ríos ;Provincia de Entre Ríos;Desarrollo productivo local;$ 48,756; $ 86,610 ;;
1200;2004;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Caracterización ecológica ambiental de represas para riego en Entre Ríos ;Universidad Nacional de Entre Ríos ;Provincia de Entre Ríos;Desarrollo productivo local;$ 86,380; $ 153,446 ;;
1201;2004;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Caracterización y generación de valor agregado en mieles entrerrianas mediante estudio melisopalinologico;Centro de Investigaciones Científicas y de Transferencia de Tecnología a la Producción - CONICET;Provincia de Entre Ríos;Desarrollo productivo local;$ 46,326; $ 82,294 ;;
1202;2004;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Adecuación del laboratorio regional de leche para su acreditación por ISO 17025 y del laboratorio entrerriano de mieles para su habilitación por SENASA;Secretaría de Producción del Gobierno de Entre Ríos ;Provincia de Entre Ríos;Desarrollo productivo local;$ 60,920; $ 108,219 ;;
1203;2004;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Desarrollo de fuentes energéticas alternativas y del ecoturismo en las Islas;Fundación Ambientalista Añangarecó Nderejhé ;Provincia de Entre Ríos;Desarrollo productivo local;$ 60,000; $ 106,584 ;;
1204;2004;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Implementación de la innovación tecnológica en el uso y aplicación de una red meteorológica para la Provincia de Formosa;Universidad Nacional de Formosa ;Provincia de Formosa;Desarrollo productivo local;$ 35,400; $ 62,885 ;;
1205;2004;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Desarrollo de un equipo de novedosas herramientas para siembra directa y capacitación en el uso y manejo de la tecnología;Secretaría de planeamiento y desarrollo de la Provincia de Formosa ;Provincia de Formosa;Desarrollo productivo local;$ 89,960; $ 159,805 ;;
