Idproyecto;año;fondo;instrumento;provincia;prov1;prov2;prov3;prov4;prov5;prov6;localidad;titulo;destinatario;otraentidad;areatematicanormalizada;montonominal;montorealBase2008;;
997;2009;COFECyT;ESPRO ;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;;;;;;;Integración de la cadena de valor de la leche en Santiago del Estero para producir con calidad y lograr mayor penetración;Asociación de Productores Agropecuarios de la Zona IV ;Provincia de Santiago Del Estero;Desarrollo productivo regional;$ 500,000; $ 433,359 ;;
999;2009;COFECyT;ESPRO ;LA PAMPA;LA PAMPA;;;;;;;Planta de procesamiento de carne de ciervo ;Pampino S.R.L ;Provincia de La Pampa;Desarrollo productivo regional;$ 545,000; $ 472,362 ;;
1687;2009;COFECyT;PFIP ;BUENOS AIRES;BUENOS AIRES;;;;;;;Dotar al beneficiario con capacidad para identificar y cuantificar la presencia de contaminantes químicos inorgánicos y aditivos orgánicos en los alimentos, sus insumos y materias primas en tiempos acordes para dar respuesta a un embarque de exportación;Alimentaria San Martín SRL ;Provincia de Buenos Aires;Desarrollo productivo local;$ 195,422; $ 169,376 ;;
1688;2009;COFECyT;PFIP ;CABA;CABA;;;;;;;Desarrollo de Innovaciones y Capacitación de la Industria de la Fundición;Ministerio de Desarrollo Económico de la Ciudad Autónoma de Buenos Aires ;CABA;Desarrollo productivo local;$ 366,740; $ 317,861 ;;
1689;2009;COFECyT;PFIP ;CABA;CABA;;;;;;;Programa de generación de microemprendimientos en jóvenes de población vulnerable (Villa Soldati);Universidad Abierta Interamericana ;CABA;Desarrollo productivo local;$ 180,900; $ 156,789 ;;
1690;2009;COFECyT;PFIP ;CABA;CABA;;;;;;;Metodología simple de estudio de mercado para nuevos emprendimientos ;Universidad del CEMA ;CABA;Desarrollo productivo local;$ 137,200; $ 118,914 ;;
1691;2009;COFECyT;PFIP ;CABA;CABA;;;;;;;Herramientas de fomento para el desarrollo económico y social;Subsecretaría de Desarrollo Económico del Gobierno de la Ciudad de Buenos Aires ;CABA;Desarrollo productivo local;$ 250,000; $ 216,680 ;;
1692;2009;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Fortalecimiento del centro de manejo ganadero bovino de Aconquija;Asociación Cooperadora de la Agronomía de Zona de Aconquija ;Provincia de Catamarca;Desarrollo productivo local;$ 121,200; $ 105,046 ;;
1693;2009;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Las enmiendas minerales una alternativa de produccion para pequeños y medianos productores;Universidad Nacional de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 122,000; $ 105,740 ;;
1694;2009;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Incorporacion de metodologia especifica para el diagnostico de laboratorio y vigilancia de enfermedades transmisibles;Ministerio de Salud de la Provincia de Catamarca;Provincia de Catamarca;Desarrollo productivo local;$ 330,000; $ 286,017 ;;
1695;2009;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Tratamiento extractivo de compuestos provenientes de residuos oleicolas utilizando energia solar en via de su aprovechamiento para aplicaciones cosmetologicas y produccion de biofertilizantes;Universidad Nacional de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 124,000; $ 107,473 ;;
1696;2009;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Integracion de un programa de fortalecimiento de las producciones para autoconsumo familiar a las acciones de atencion primaria de la salud y evaluacion de su impacto en el bienestar de las comunidades del Departamento Capayan - Provincia de Catamarca;Fundación Mundo Sano ;Provincia de Catamarca;Desarrollo productivo local;$ 145,560; $ 126,160 ;;
1697;2009;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Mejoramiento de las condiciones productivas y socioeconomicas del modelo capricultor tipico, mediante la transferencia de tecnologias adecuadas a su tipologia y capacitacion en su adopcion;Universidad Nacional de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 56,800; $ 49,230 ;;
1698;2009;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Relevamiento, identificacion y control de las enfermedades que afectan el cultivo de olivo en la Provincia de Catamarca;Universidad Nacional de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 141,855; $ 122,948 ;;
1699;2009;COFECyT;PFIP ;CHACO;CHACO;;;;;;;"Produccion de alimentos alternativos ""desde el campo y lo natural"" a la mesa ";Lila Viviana de Rosa ;Provincia de Chaco;Desarrollo productivo local;$ 79,120; $ 68,575 ;;
1700;2009;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Aplicación de tecnologias limpias para prolongar la vida post-cosecha de frutillas y moras producidas en la provincia del Chaco;Universidad Nacional del Nordeste ;Provincia de Chaco;Desarrollo productivo local;$ 148,350; $ 128,578 ;;
1701;2009;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Desarrollo de planta prototipo para termo modificacion de madera maciza ;Universidad Nacional del CHACOAustral ;Provincia de Chaco;Desarrollo productivo local;$ 199,632; $ 173,025 ;;
1702;2009;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Abordaje ecosistemico de la enfermedad de Chagas en el area urbana de pampa del indioprovincia del CHACO- Transferencia del sistema de gestion del programa integral de control vectorial, diagnostico y tratamiento a instituciones y actores locales y la comunidad;Fundación Mundo Sano ;Provincia de Chaco;Desarrollo productivo local;$ 162,300; $ 140,668 ;;
1703;2009;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Instalacion de una maquina para fraccionar y envasar miel 100% natural con el fin de agregar valor al producto;Cooperativa de Productores Apícolas (COPAP) ;Provincia de Chaco;Desarrollo productivo local;$ 200,000; $ 173,344 ;;
1704;2009;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Desarrollo de sistema de produccion y comercializacion de carbon ;Cecilia Baez ;Provincia de Chaco;Desarrollo productivo local;$ 180,000; $ 156,009 ;;
1705;2009;COFECyT;PFIP ;CHUBUT;CHUBUT;;;;;;;Nuevos recursos acuícolas en el Golfo San Jorge ;Agencia Comodoro Conocimiento ;Provincia de Chubut;Desarrollo productivo local;$ 157,490; $ 136,500 ;;
1706;2009;COFECyT;PFIP ;CHUBUT;CHUBUT;;;;;;;Evaluación de técnicas de ensilado y determinación de las propiedades físico químicas para el alga Undaria pinnatifida;UTN - Facultad Regional Chubut ;Provincia de Chubut;Desarrollo productivo local;$ 56,625; $ 49,078 ;;
1707;2009;COFECyT;PFIP ;CHUBUT;CHUBUT;;;;;;;Desarrollo e incorporación de tecnologías de procesamiento y comercialización para la optimización de la cadena de valor de la pesca artesanal;UTN - Facultad Regional Chubut ;Provincia de Chubut;Desarrollo productivo local;$ 149,500; $ 129,574 ;;
1708;2009;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Instrumentos de medicion de parametros fisicos y quimicos en equipamiento de hemodialisis, para su control y calibracion, sujeto a normas de fabricacion Maqui 4;IESA SRL ;Provincia de Córdoba;Desarrollo productivo local;$ 203,273; $ 176,181 ;;
1709;2009;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Desarrollo de procedimientos para verificar la seguridad de las personas expuestas a la radiacion no ionizante (RNI) provista por aparatos de uso medico y estetico;Universidad Nacional de Cordoba ;Provincia de Córdoba;Desarrollo productivo local;$ 189,112; $ 163,907 ;;
1710;2009;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Mejora de la productividad y calidad en el ensamblaje de placas electronicas;Cámara de Industrias, Electrónicas y de Comunicaciones del centro de Argentina ;Provincia de Córdoba;Desarrollo productivo local;$ 169,000; $ 146,476 ;;
1711;2009;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Planta piloto de biofiltros de tratamiento de efluentes y residuos organicos y su posterior reutilizacion;Agroplei SA ;Provincia de Córdoba;Desarrollo productivo local;$ 178,250; $ 154,493 ;;
1712;2009;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Desarrollo de calentadores de agua solares para sectores sociales de bajos ingresos ;Cooperativa de trabajo taller integral Ltda. ;Provincia de Córdoba;Desarrollo productivo local;$ 159,894; $ 138,583 ;;
1713;2009;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Desarrollo de un sistema a presion constante de siembra directa ;UTN - Facultad Regional Villa María ;Provincia de Córdoba;Desarrollo productivo local;$ 81,815; $ 70,911 ;;
1714;2009;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Laboratorio de alimentos y productos frescos, orientado a calidad y valor agregado en la ciudad de Corrientes;Municipalidad de la ciudad de Corrientes ;Provincia de Corrientes;Desarrollo productivo local;$ 99,824; $ 86,519 ;;
1715;2009;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Tecnologías para el agregado de valor a la producción apícola: extracción de apitoxinas en Corrientes;Carlos Eduardo Lorenzola ;Provincia de Corrientes;Desarrollo productivo local;$ 70,900; $ 61,450 ;;
1716;2009;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Implementación de sistemas de gestión de calidad y denominación de origen en producciones alternativas: Búfalo, pacú y yacaré;Universidad Nacional del Nordeste ;Provincia de Corrientes;Desarrollo productivo local;$ 230,552; $ 199,824 ;;
1717;2009;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Diseño e implementación de técnica alternativa para detección de fibrosis quística en pacientes enfermos y portadores;Universidad Nacional del Nordeste ;Provincia de Corrientes;Desarrollo productivo local;$ 95,000; $ 82,338 ;;
1718;2009;COFECyT;PFIP ;CORRIENTES;CORRIENTES;;;;;;;Frigorífico de yacarés e incubadora satélite de huevos: maximizando los beneficios conservacionistas y la ecuación costo/beneficio del rancheo de los caimanes correntinos;Yacaré Porá SA ;Provincia de Corrientes;Desarrollo productivo local;$ 180,943; $ 156,827 ;;
1719;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Sistema gratuito para la predicción de rendimientos en los principales cultivos agrícolas de la Provincia de Entre Ríos mediante la utilización de imágenes satelitales;Bolsa de Cereales de Entre Ríos ;Provincia de Entre Ríos;Desarrollo productivo local;$ 99,999; $ 86,671 ;;
1720;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Red de monitoreo del efecto de prácticas sobre el agua: alerta y mitigación de impactos sobre la seguridad alimentaria y el ambiente en Entre Ríos;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 100,000; $ 86,672 ;;
1721;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Observatorio de Sistemas Agropecuarios entrerrianos Puesta en marcha del observatorio de Sistemas Ganaderos.;Universidad de Concepción del Uruguay ;Provincia de Entre Ríos;Desarrollo productivo local;$ 99,800; $ 86,499 ;;
1722;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Desarrollo y transferencia de tecnologías para la producción sustentable de berries;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 100,000; $ 86,672 ;;
1723;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Integración, aplicación y transferencia de un paquete tecnológico para el manejo sustentable de sistemas intensivos reales de producción de cítricos;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 100,000; $ 86,672 ;;
1724;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Organización de un sistema integrado permanente de auditoria y transferencia tecnológica para el aseguramiento de la calidad apícola regional;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 100,000; $ 86,672 ;;
1725;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Mejoramiento de la calidad y valor agregado de productos y subproductos avícolas, aplicando trazabilidad en los primeros eslabones de la cadena productiva;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 100,000; $ 86,672 ;;
1726;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Análisis del efecto de la polinización de Apis mellifera L. en soja (Glycine max (L.)Merr.) y evaluación del desarrollo y producción de las colmenas durante la floración del cultivo;Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 100,000; $ 86,672 ;;
1727;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Propuesta de mejoramiento del sistema de atención pública para la detección del Chagas connatal y pediátrico. Redacción del Manual Operativo basado en normas de calidad;Universidad Autonoma de Entre Rios (UADER) ;Provincia de Entre Ríos;Desarrollo productivo local;$ 99,192; $ 85,972 ;;
1728;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Spin Off de tecnología medica-fabricación de un equipo portátil para la detección automática de hipoacusias en neonatos;Universidad Nacional de Entre Ríos ;Provincia de Entre Ríos;Desarrollo productivo local;$ 148,000; $ 128,274 ;;
1729;2009;COFECyT;PFIP ;ENTRE RÍOS;ENTRE RÍOS;;;;;;;Calidad en atención primaria de la salud: Diseño e implementación del sistema de Gestión de Calidad del Laboratorio Provincial de Epidemiología;Universidad Nacional de Entre Ríos ;Provincia de Entre Ríos;Desarrollo productivo local;$ 107,778; $ 93,413 ;;
1730;2009;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Semillero de Leucaena: Tecnologías para el desarrollo de proteína vegetal de bajo costo para la alimentación del ganado bovino del NEA.;Empresa Luis Cabrera R.I. ;Provincia de Formosa;Desarrollo productivo local;$ 163,000; $ 141,275 ;;
1731;2009;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Producción de Polen y propóleo: tecnologías para el valor agregado de la actividad apícola regional.;Asociación apicultores de Ibarreta ;Provincia de Formosa;Desarrollo productivo local;$ 138,150; $ 119,737 ;;
1732;2009;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Dotar a productores fruti hortícolas periurbanos formoseños de herramientas tecnologías aplicadas a la cosecha y pos cosecha de productos, mejorando su presentación, condiciones de competitividad y rentabilidad en el mercado local.;Subsecretaría de Desarrollo Económico del Ministerio de Economia de Hacienda y Finanzas de la Provincia;Provincia de Formosa;Desarrollo productivo local;$ 126,860; $ 109,952 ;;
1733;2009;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Diversificación en la producción de pequeños minifundistas en las Localidades, de Mojón de Fierro, Boca Riacho Pilagá y Colonia Dalmacia, innovando en la incorporación y validación de ka`a He´e como cultivo complementario.;Ministerio de la producción y ambiente de la Provincia de Formosa;Provincia de Formosa;Desarrollo productivo local;$ 221,948; $ 192,367 ;;
1734;2009;COFECyT;PFIP ;JUJUY;JUJUY;;;;;;;Desarrollo de empresa MiPyme asociativa para la produccion de plantines bajo condiciones controladas aplicando tecnologia de avanzada;Sergio Omar Rodriguez y Eduardo Héctor Tejerina;Provincia de Jujuy;Desarrollo productivo local;$ 245,000; $ 212,346 ;;
1735;2009;COFECyT;PFIP ;JUJUY;JUJUY;;;;;;;Recoleccion y reciclado de envases plásticos (botellas y otros), para la fabricacion, uso en los municipios y comercializacion de muebles, lozetas y otros materiales en la localidad de Reyes;Municipalidad de San Salvador de Jujuy ;Provincia de Jujuy;Desarrollo productivo local;$ 483,300; $ 418,885 ;;
1736;2009;COFECyT;PFIP ;JUJUY;JUJUY;;;;;;;Producción de bulbos y flores de corte de Lilium ;González Oscar Eduardo ;Provincia de Jujuy;Desarrollo productivo local;$ 103,199; $ 89,445 ;;
1737;2009;COFECyT;PFIP ;LA PAMPA;LA PAMPA;;;;;;;Unidad de desarrollo tecnico productivo de hierbas aromaticas y hortalizas ;Municipalidad de Macachín ;Provincia de La Pampa;Desarrollo productivo local;$ 143,287; $ 124,190 ;;
1738;2009;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Recuperación de fracciones reciclables (excepto orgánicas) de los RSU generados en el departamento Rosario Vera Peñaloza;"Asociación ""Cuidadores del ambiente"" ";Provincia de La Rioja;Desarrollo productivo local;$ 150,000; $ 130,008 ;;
1739;2009;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Desarrollo de alimentos para la ganadería a partir de Residuos de la Industria Olivícola ;Universidad Nacional de Chilecito ;Provincia de La Rioja;Desarrollo productivo local;$ 253,630; $ 219,826 ;;
1740;2009;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Detección y control de la diarrea animal por Rota Virus en el ganado bovino de La Rioja;Fundación Héctor Alejandro Barceló para el desarrollo de la Ciencia Biomédica Argentina ;Provincia de La Rioja;Desarrollo productivo local;$ 258,000; $ 223,614 ;;
1741;2009;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Inserción del Cultivo de Alcaparras en el Departamento de Arauco ;Asociación Tierras de Olivos ;Provincia de La Rioja;Desarrollo productivo local;$ 151,200; $ 131,048 ;;
1742;2009;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Contribuir a aumentar el valor agregado que obtienen los productores de lajas rosadas, grises y demás piedras de ornamentación de Olta del sector de minería a pequeña escala;Cámara de Minería Riojana (CAMIR) ;Provincia de La Rioja;Desarrollo productivo local;$ 147,000; $ 127,408 ;;
1743;2009;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Construcción de unidades productivas bovinas en Chamical;Fundación para la Producción y el Desarrollo Social;Provincia de La Rioja;Desarrollo productivo local;$ 147,910; $ 128,196 ;;
1744;2009;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Utilizacion de residuos celulosicos de los cultivos energeticos de la region de Mendoza, para la produccion de alcohol celulosico;Universidad Nacional de Cuyo ;Provincia de Mendoza;Desarrollo productivo local;$ 239,220; $ 207,337 ;;
1745;2009;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Innovacion de las principales herramientas biotecnologicas para vinificacion, levaduras y enzimas pectinoliticas para la diferenciacion de los vinos para la region sur de Mendoza;Universidad Nacional de Cuyo ;Provincia de Mendoza;Desarrollo productivo local;$ 180,000; $ 156,009 ;;
1746;2009;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Micro hidro generacion en canales de riego ;UTN - Facultad Regional San Rafael ;Provincia de Mendoza;Desarrollo productivo local;$ 91,840; $ 79,599 ;;
1747;2009;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Mejorar las condiciones socioambientales e implementacion de servicios sanitarios sustentables en el Parque Provincial Aconcagua;UTN - Facultad Regional Mendoza ;Provincia de Mendoza;Desarrollo productivo local;$ 487,282; $ 422,337 ;;
1748;2009;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Biomasa de residuos agroindustriales y forestales como energia alternativa ;UTN - Facultad Regional San Rafael ;Provincia de Mendoza;Desarrollo productivo local;$ 45,400; $ 39,349 ;;
1749;2009;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Destilador de aceites esenciales ;Fundación misionera de ciencia y tecnología ;Provincia de Misiones;Desarrollo productivo local;$ 41,796; $ 36,225 ;;
1750;2009;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Calidad microbiologica y fisicoquimica de productos lacteos y sus derivados fortaleciendo a pequeños productores de lacteos de la zona de Obera;Cooperativa Agropecuaria La Unión Ltda. ;Provincia de Misiones;Desarrollo productivo local;$ 167,800; $ 145,435 ;;
1751;2009;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Mejoramiento de productos vegetales tradicionales de Misiones ;Fundación misionera de ciencia y tecnología ;Provincia de Misiones;Desarrollo productivo local;$ 48,500; $ 42,036 ;;
1752;2009;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Fortalecimiento productivo y constructivo de la cadena nautica de pequeños astilleros ;Fundación misionera de ciencia y tecnología ;Provincia de Misiones;Desarrollo productivo local;$ 116,870; $ 101,293 ;;
1753;2009;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Pasteurizacion de leche producida por la agricultura familiar de Misiones;Asociación Civil de Ferias Francas de la Provincia de Misiones (INTERFERIAS) ;Provincia de Misiones;Desarrollo productivo local;$ 73,200; $ 63,444 ;;
1754;2009;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Industrializacion de productos fruti-horticolas provenientes de los Huertos del Alto Parana creados bajo la figura de cooperativas;Agencia para el Desarrollo Económico de Eldorado (AGEDEL) ;Provincia de Misiones;Desarrollo productivo local;$ 206,500; $ 178,977 ;;
1755;2009;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Mejoramiento de la productividad y valor agregado de hortalizas en Misiones ;Juan Francisco Galarza ;Provincia de Misiones;Desarrollo productivo local;$ 71,000; $ 61,537 ;;
1756;2009;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Fortalecimiento de la actividad lechera en dos cuencas de la provincia del Neuquen;Asociación de fomento rural Villa del Nahueve (cuenca lechera norte del Neuquén) - Alamo, Gabino Marcial (cuenca lechera sur del Neuquén) (como fallece firma su esposa Graciela Tapia);Provincia de Neuquén;Desarrollo productivo local;$ 172,504; $ 149,512 ;;
1757;2009;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Programa de obtencion y diseminacion de reproductores caprinos mejorados para la produccion de fibras en el noroeste de Neuquen;Universidad Nacional del Comahue ;Provincia de Neuquén;Desarrollo productivo local;$ 199,555; $ 172,958 ;;
1758;2009;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Implementacion del micorrizado con especies de hongos comestibles de alto valor comercial en los viveros de la provincia del Neuquen;Centro Pyme ADENEU ;Provincia de Neuquén;Desarrollo productivo local;$ 128,000; $ 110,940 ;;
1759;2009;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Fangos termales en terapeutica y estetica: conversión de un recurso no renovable (fango natural) en renovable (fango madurado), con repercusion socioeconomica, diversificacion de producto termo mineral, preservando el recurso natural;Ente Provincial de Termas de Neuquén - Facultad de Ingeniería. Universidad Nacional de Comahue;Provincia de Neuquén;Desarrollo productivo local;$ 199,100; $ 172,564 ;;
1760;2009;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Centro de inseminacion artificial porcino ;Juan Carlos Santangelo ;Provincia de Neuquén;Desarrollo productivo local;$ 104,174; $ 90,290 ;;
1761;2009;COFECyT;PFIP ;INTERPROVINCIAL;NEUQUÉN;RÍO NEGRO;;;;;;Hacia una diversificacion productiva sustentable: tecnologias alternativas para la industrializacion de materias primas derivadas de la fruticultura;Universidad Nacional del Comahue ;Provincias de Neuquén, Río Negro;Desarrollo productivo local;$ 107,305; $ 93,003 ;;
1762;2009;COFECyT;PFIP ;INTERPROVINCIAL;NEUQUÉN;RÍO NEGRO;;;;;;Desarrollo y aplicación de levaduras para la diversificacion productiva de vino, sidra y cerveza mediante fermentacion a bajas temperaturas;Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET) ;Provincias de Neuquén, Río Negro;Desarrollo productivo local;$ 130,000; $ 112,673 ;;
1763;2009;COFECyT;PFIP ;INTERPROVINCIAL;NEUQUÉN;RÍO NEGRO;;;;;;Agricultura organica: incidencia de enmiendas organicas, compost, abono verde y bacterias promotoras del crecimiento vegetal, sobre la calidad del suelo y la produccion de los frutales de pepita;Universidad Nacional del Comahue ;Provincias de Neuquén, Río Negro;Desarrollo productivo local;$ 122,685; $ 106,333 ;;
1764;2009;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Degradación de Agroquímicos en hortalizas cultivadas en el Alto Valle de Río Negro.;Centro de Investigación y asistencia tecnica a la industria Asociación Civil- CIATI AC ;Provincia de Río Negro;Desarrollo productivo local;$ 138,297; $ 119,865 ;;
1765;2009;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Tecnología de Vivero y Silvicultura de implantación para la Diversificación del Sector Forestal Regional con especies de alto valor maderable.;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Río Negro;Desarrollo productivo local;$ 189,600; $ 164,330 ;;
1766;2009;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Desarrollo y Fortalecimiento de la Horticultura Diversificada para Mercados Regionales de la Provincia de Río Negro.;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Río Negro;Desarrollo productivo local;$ 205,800; $ 178,371 ;;
1767;2009;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Multiplicación de especies nativas del monte xerofítico rionegrino, a partir de un Laboratorio básico de Biotecnología Vegetal y métodos convencionales, fomentando su valorización en el manejo sustentable de estos ambientes.;Ministerio de Producción de la Provincia de Rio Negro;Provincia de Río Negro;Desarrollo productivo local;$ 228,390; $ 197,950 ;;
1768;2009;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Fortalecimiento tecnológico para la diversificación, mejoramiento de la competitividad y aseguramiento de la calidad higiénico-sanitaria de los productos de la pesca artesanal comercializables a escala local y regional;Municipalidad de San Antonio Oeste ;Provincia de Río Negro;Desarrollo productivo local;$ 120,000; $ 104,006 ;;
1769;2009;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Integración entre Areas con distintas características ecológicas para optimizar la producción bovina en la Zona Sanitaria Patagonia Norte B (Libre de Aftosa sin Vacunación);Federación de Sociedades Rurales de Río Negro - Soc Rural San Carlos de Bariloche;Provincia de Río Negro;Desarrollo productivo local;$ 199,258; $ 172,701 ;;
1770;2009;COFECyT;PFIP ;SALTA;SALTA;;;;;;;Optimizacion de la cadena de valor del pimiento para pimenton y del uso del secadero solar a traves de su aplicacion a otras aromaticas u hortalizas;Instituto Nacional de Tecnologia Industrial (INTI) ;Provincia de Salta;Desarrollo productivo local;$ 195,662; $ 169,584 ;;
1771;2009;COFECyT;PFIP ;SALTA;SALTA;;;;;;;Generación de energía eólica Integrada al desarrollo de la región Puna de la Provincia de Salta;Universidad Católica de Salta ;Provincia de Salta;Desarrollo productivo local;$ 255,000; $ 221,013 ;;
1772;2009;COFECyT;PFIP ;SALTA;SALTA;;;;;;;Producción de vapor y energía eléctrica solar térmica para aplicaciones mineras en la Puna;Instituto de Investigaciones en Energía No Convencional (INENCO) - Universidad Nacional de Salta;Provincia de Salta;Desarrollo productivo local;$ 400,000; $ 346,688 ;;
1773;2009;COFECyT;PFIP ;SAN LUIS;SAN LUIS;;;;;;;Elaboracion de hormigon usando residuos de rocas de aplicación: Aplicación y estudio de la resistencia en funcion de la composicion;Universidad Nacional de San Luis ;Provincia de San Luis;Desarrollo productivo local;$ 117,910; $ 102,195 ;;
1774;2009;COFECyT;PFIP ;SANTA CRUZ;SANTA CRUZ;;;;;;;Laboratorio de Analisis Fisico y Quimico de Suelos de la Chacra experimental de la UNPA - UASJ;Universidad Nacional de la Patagonia Austral ;Provincia de Santa Cruz;Desarrollo productivo local;$ 85,802; $ 74,366 ;;
1775;2009;COFECyT;PFIP ;SANTA CRUZ;SANTA CRUZ;;;;;;;Certificacion de origen del langostino patagonico (pleoticus muelleri) mediante marcadores moleculares geneticos;Subsecretaría de Pesca y Actividades Portuarias - Ministerio de la producción Gobernación de la Provincia de Santa Cruz;Provincia de Santa Cruz;Desarrollo productivo local;$ 154,992; $ 134,335 ;;
1776;2009;COFECyT;PFIP ;SANTA FE;SANTA FE;;;;;;;Manejo silvopastoril sustentable con pequeños productores de la cuña boscosa santafesina;Fundación para el desarrollo en justicia y paz (FUNDAPAZ) ;Provincia de Santa Fe;Desarrollo productivo local;$ 155,700; $ 134,948 ;;
