Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5
0001;0001-1;2;Agro Green Argentina S.R.L;Privado;Empresa privada;SRL;Agro Green Argentina S.R.L;Agro Green Argentina S.R.L
0001;0001-2;2;PRO.CE.VI. Coop. Limitada;Comunidad;Cooperativa;Cooperativa de servicios;PRO.CE.VI. Coop. Limitada;PRO.CE.VI. Coop. Limitada
0002;0002-1;2;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi;Comunidad;Asociación Civil;Asociación agraria;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi
0002;0002-2;2;Frigorífico Forres – Beltrán S.A;Privado;Empresa privada;SA;Frigorífico Forres – Beltrán S.A;Frigorífico Forres – Beltrán S.A
0003;0003-2;2;Asociación Civil Solidaria Santa Madre Paulina;Comunidad;Asociación Civil;Organización social;Asociación Civil Solidaria Santa Madre Paulina;Asociación Civil Solidaria Santa Madre Paulina
0003;0003-1;2;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo;Comunidad;Asociación;Cooperadora escolar;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo
0004;0004-1;4;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA;Comunidad;?;Cooperación empresaria o de productores;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA
0004;0004-4;4;Cooperativa Apícola de Gualeguaychú;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Gualeguaychú;Cooperativa Apícola de Gualeguaychú
0004;0004-2;4;Cooperativa Apícola de Paraná;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Paraná;Cooperativa Apícola de Paraná
0004;0004-3;4;Cooperativa Apícola de Villa Elisa;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Villa Elisa;Cooperativa Apícola de Villa Elisa
0005;0005-1;2;BRUNO DE ALTO;Privado;Persona física;Persona física;BRUNO DE ALTO;BRUNO DE ALTO
0005;0005-2;2;FEDERICO MOREJON;Privado;Persona física;Persona física;FEDERICO MOREJON;FEDERICO MOREJON
0006;0006-1;3;Centro De Desarrollo e Innovación Tecnológica (CEDITEC);Estado;Provincial;Gobierno provincial;Provincia de Misiones;CEDIT (Agencia Misionera de Innovación)
0006;0006-2;3;Subsecretaría de Turismo de la Provincia de Corrientes;Estado;Provincial;Gobierno provincial;Provincia de Corrientes;Corrientes (Turismo)
0006;0006-3;3;Fundación Nuestro Ambiente (FUNA);Comunidad;Fundación;Organización ambiental;Fundación Nuestro Ambiente (FUNA);Fundación Nuestro Ambiente (FUNA)
0007;0007-1;3;Comisión Nacional de Energía Atómica (CNEA);Estado;Nacional;Organismo CyT público;CNEA;CNEA
0007;0007-2;3;INVAP SE;Estado;Empresa estatal;SE;INVAP;INVAP
0007;0007-3;3;Nucleoeléctrica Argentina SA;Estado;Empresa estatal;SA;Nucleoeléctrica Argentina SA;Nucleoeléctrica Argentina SA
0008;0008-1;3;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
0008;0008-3;3;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Estado;Empresa estatal;SAPEM;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Santa Fe Gas y Energías Renovables SAPEM (ENERFE)
0008;0008-2;3;Varteco Química Puntana SA;Privado;Empresa privada;SA;Varteco Química Puntana SA;Varteco Química Puntana SA
0009;0009-1;2;Consejo Nacional de Investigaciones Científicas y Tecnológicas;Estado;Nacional;Organismo CyT público;CONICET;CONICET
0009;0009-2;2;YPF SA;Estado;Empresa estatal;SAPEM;YPF;YPF
0010;0010-1;2;Cooperativa Agrícola Los Colonos Ltda.;Comunidad;Cooperativa;Cooperativa agraria;Cooperativa Agrícola Los Colonos Ltda.;Cooperativa Agrícola Los Colonos Ltda.
0010;0010-2;2;Te Kairiyama y Cia SRL;Privado;Empresa privada;SRL;Te Kairiyama y Cia SRL;Te Kairiyama y Cia SRL
0011;0011-1;2;Cooperativa Agropecuaria y de Electricidad Monte Caseros Ltda.;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Agropecuaria y de Electricidad Monte Caseros Ltda.;Cooperativa Agropecuaria y de Electricidad Monte Caseros Ltda.
0011;0011-2;2;Ministerio de Producción, Trabajo y Turismo de la Provincia de Corrientes;Estado;Provincial;Gobierno provincial;Provincia de Corrientes;Corrientes (Producción, Trabajo y Turismo)
0012;0012-2;2;Cabaña Apícola UDEP de la Fundación Facultad de Ciencias Veterinarias UNLPam;Comunidad;Fundación;Asociación de apoyo a institución pública;Cabaña Apícola UDEP de la Fundación Facultad de Ciencias Veterinarias UNLPam;Cabaña Apícola UDEP de la Fundación Facultad de Ciencias Veterinarias UNLPam
0012;0012-1;2;Cooperativa Apícola Patagónica;Comunidad;Cooperativa;Cooperativa agraria;Cooperativa Apícola Patagónica;Cooperativa Apícola Patagónica
0013;0013-2;2;Cooperativa Apícola Granjera de Comercialización, Industrialización, Provisión y Consumo Patagonia Andina Ltda. (San Martin de los Andes);Comunidad;Cooperativa;Cooperativa agraria;Cooperativa Apícola Granjera de Comercialización, Industrialización, Provisión y Consumo Patagonia Andina Ltda. (San Martin de los Andes);Cooperativa Apícola Granjera de Comercialización, Industrialización, Provisión y Consumo Patagonia Andina Ltda. (San Martin de los Andes)
0013;0013-1;2;Cooperativa de Industrialización y Comercialización Apícola Colmenas Australes Ltda. (Picún Leufu);Comunidad;Cooperativa;Cooperativa agraria;Cooperativa de Industrialización y Comercialización Apícola Colmenas Australes Ltda. (Picún Leufu);Cooperativa de Industrialización y Comercialización Apícola Colmenas Australes Ltda. (Picún Leufu)
0014;0014-1;3;Cooperativa de Provisión de Obras y Servicios Públicos Limitada de Armstrong (CELAR);Comunidad;Cooperativa;Cooperativa de servicios públicos;Cooperativa de Provisión de Obras y Servicios Públicos Limitada de Armstrong (CELAR);Cooperativa de Provisión de Obras y Servicios Públicos Limitada de Armstrong (CELAR)
0014;0014-3;3;Universidad Nacional de General San Martín (UNSAM);Estado;Nacional;Universidad pública;UNSAM;UNSAM
0014;0014-2;3;Universidad Tecnológica Nacional (UTN);Estado;Nacional;Universidad pública;UTN;UTN
0015;0015-2;2;Cooperativa de Provisión para Carpinteros y afines Ltda.COOP CARP;Comunidad;Cooperativa;Cooperativa de servicios;Cooperativa de Provisión para Carpinteros y afines Ltda.COOP CARP;Cooperativa de Provisión para Carpinteros y afines Ltda.COOP CARP
0015;0015-1;2;Cooperativa de Provisión para Productores Forestales Ltda Lago Kami;Comunidad;Cooperativa;Cooperativa de servicios;Cooperativa de Provisión para Productores Forestales Ltda Lago Kami;Cooperativa de Provisión para Productores Forestales Ltda Lago Kami
0016;0016-2;2;ANABELA STRINGHINI;Privado;Persona física;Persona física;ANABELA STRINGHINI;ANABELA STRINGHINI
0016;0016-1;2;ERICA BELEN DOPAZO;Privado;Persona física;Persona física;ERICA BELEN DOPAZO;ERICA BELEN DOPAZO
0017;0017-2;2;Agropecuaria San Jose Sociedad Anónima;Privado;Empresa privada;SA;Agropecuaria San Jose Sociedad Anónima;Agropecuaria San Jose Sociedad Anónima
0017;0017-1;2;Estancia La Invernada Sociedad Anónima;Privado;Empresa privada;SA;Estancia La Invernada Sociedad Anónima;Estancia La Invernada Sociedad Anónima
0018;0018-2;2;ANA GABRIELA GONZALEZ;Privado;Persona física;Persona física;ANA GABRIELA GONZALEZ;ANA GABRIELA GONZALEZ
0018;0018-1;2;FATIMA ELIZABETH SORIA;Privado;Persona física;Persona física;FATIMA ELIZABETH SORIA;FATIMA ELIZABETH SORIA
0019;0019-2;2;Cámara Argentina de Fruticultores Integrados (CAFI);Comunidad;Cámara;Cooperación empresaria o de productores;Cámara Argentina de Fruticultores Integrados - CAFI;Cámara Argentina de Fruticultores Integrados (CAFI)
0019;0019-1;2;Federación de Productores de Fruta de Rio Negro y Neuquen;Comunidad;Federación;Cooperación empresaria o de productores;Federación de Productores de Fruta de Río Negro y Neuquén;Federación de Productores de Fruta de Río Negro y Neuquén
0020;0020-1;2;Federación Económica de San Juan;Comunidad;?;Cooperación empresaria o de productores;Federación Económica de San Juan;Federación Económica de San Juan
0020;0020-2;2;Instituto de Investigaciones Tecnológicas de la provincia de San Juan;Estado;Provincial;Organismo CyT público;Provincia de San Juan;Instituto de Investigaciones Tecnológicas de la provincia de San Juan
0021;0021-1;2;FEDERICO MARTINAT;Privado;Persona física;Persona física;FEDERICO MARTINAT;FEDERICO MARTINAT
0021;0021-2;2;SILVINA BEATRIZ PEDANO;Privado;Persona física;Persona física;SILVINA BEATRIZ PEDANO;SILVINA BEATRIZ PEDANO
0022;0022-1;2;Fuhrman SA;Privado;Empresa privada;SA;Fuhrman SA;Fuhrman SA
0022;0022-2;2;Peinaduría Río Chubut SA;Privado;Empresa privada;SA;Peinaduría Río Chubut SA;Peinaduría Río Chubut SA
0023;0023-1;3;Fundación Castellanos;Comunidad;Fundación;Asociación de apoyo empresario/productivo;Fundación Castellanos;Fundación Castellanos
0023;0023-2;3;Fundación Las Colonias;Comunidad;Fundación;Asociación de apoyo empresario/productivo;Fundación Las Colonias;Fundación Las Colonias
0023;0023-3;3;Fundación Rivadaviense para la Sanidad Animal;Comunidad;Fundación;Asociación de apoyo empresario/productivo;Fundación Rivadaviense para la Sanidad Animal;Fundación Rivadaviense para la Sanidad Animal
0024;0024-2;2;Asociación de Industriales Metalúrgicos de la República Argentina (ADIMRA);Comunidad;Cámara empresarial;Cooperación empresaria o de productores;Asociacion de Industriales Metalúrgicos de la Republica de la Argentina;Asociacion de Industriales Metalúrgicos de la Republica de la Argentina
0024;0024-1;2;Instituto Nacional de Tecnología Industrial (INTI);Estado;Nacional;Organismo CyT público;INTI;INTI
0025;0025-1;2;JOAQUIN PREDILAILO;Privado;Persona física;Persona física;JOAQUIN PREDILAILO;JOAQUIN PREDILAILO
0025;0025-2;2;MATIAS IBARRA;Privado;Persona física;Persona física;MATIAS IBARRA;MATIAS IBARRA
0026;0026-2;2;DANIA JULIETA BONADEO;Privado;Persona física;Persona física;DANIA JULIETA BONADEO;DANIA JULIETA BONADEO
0026;0026-1;2;LEANDRO MARTIN FERRON;Privado;Persona física;Persona física;LEANDRO MARTIN FERRON;LEANDRO MARTIN FERRON
0027;0027-2;3;Ingenio y Refinería San Martin del Tabacal S.R.L.;Privado;Empresa privada;SRL;Ingenio y Refinería San Martin del Tabacal S.R.L.;Ingenio y Refinería San Martin del Tabacal S.R.L.
0027;0027-1;3;Ledesma S.A.A.I.;Privado;Empresa privada;SA;Ledesma SAAI;Ledesma SAAI
0027;0027-3;3;Prosal SA;Privado;Empresa privada;SA;Prosal SA;Prosal SA
0028;0028-2;2;CRISTIAN FERNANDO SANTIAGO GARAY;Privado;Persona física;Persona física;CRISTIAN FERNANDO SANTIAGO GARAY;CRISTIAN FERNANDO SANTIAGO GARAY
0028;0028-1;2;MARIA AMELIA ABRAHAM;Privado;Persona física;Persona física;MARIA AMELIA ABRAHAM;MARIA AMELIA ABRAHAM
0029;0029-1;2;MARIA LUZ RUARTES MARTINEZ;Privado;Persona física;Persona física;MARIA LUZ RUARTES MARTINEZ;MARIA LUZ RUARTES MARTINEZ
0029;0029-2;2;SOLEDAD ARABEL BRIZUELA;Privado;Persona física;Persona física;SOLEDAD ARABEL BRIZUELA;SOLEDAD ARABEL BRIZUELA
0030;0030-1;2;Neuromed Argentina SA;Privado;Empresa privada;SA;Neuromed Argentina SA;Neuromed Argentina SA
0030;0030-2;2;Fundación Escuela de Medicina Nuclear (FUESMEN);Estado;Fundación;Organismo nacional;Organismo nacional (Fundación Escuela de Medicina Nuclear);Organismo nacional (Fundación Escuela de Medicina Nuclear)
0031;0031-2;3;Cooperativa De Tamberos Unidos Ltda.;Comunidad;Cooperativa;Cooperativa agraria;Cooperativa De Tamberos Unidos Ltda.;Cooperativa De Tamberos Unidos Ltda.
0031;0031-3;3;Monte Ralo S.R.L.;Privado;Empresa privada;SRL;Monte Ralo S.R.L.;Monte Ralo S.R.L.
0031;0031-1;3;Nueva Cooperativa Agropecuaria Ltda.;Comunidad;Cooperativa;Cooperativa agraria;Nueva Cooperativa Agropecuaria Ltda.;Nueva Cooperativa Agropecuaria Ltda.
0032;0032-2;2;Claudia Panica;Privado;Persona física;Persona física;Claudia Panica;Claudia Panica
0032;0032-1;2;Patricia Diaz;Privado;Persona física;Persona física;Patricia Diaz;Patricia Diaz
0033;0033-2;2;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
0033;0033-1;2;QM Equipment SA;Privado;Empresa privada;SA;QM Equipment SA;QM Equipment SA
0034;0034-2;3;Comisión Nacional de Energía Atómica (CNEA);Estado;Nacional;Organismo CyT público;CNEA;CNEA
0034;0034-3;3;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
0034;0034-1;3;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Estado;Empresa estatal;SAPEM;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Santa Fe Gas y Energías Renovables SAPEM (ENERFE)
0035;0035-3;3;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
0035;0035-2;3;Fimaco SA;Privado;Empresa privada;SA;Fimaco SA;Fimaco SA
0035;0035-1;3;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Estado;Empresa estatal;SAPEM;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Santa Fe Gas y Energías Renovables SAPEM (ENERFE)
0036;0036-1;2;Secretaria De Agricultura, Ganadería Y Agroindustria de la Provincia De San Juan;Estado;Provincial;Gobierno provincial;Provincia de San Juan;San Juan (Agricultura, Ganadería y Agroindustria)
0036;0036-2;2;Secretaria De Política Económica de la Provincia De San Juan;Estado;Provincial;Gobierno provincial;Provincia de San Juan;San Juan (Política Económica)
0037;0037-2;3;Agua Potable de Jujuy;Estado;Empresa estatal;Provincial;Agua Potable de Jujuy;Agua Potable de Jujuy
0037;0037-3;3;SIPROSA de Tucumán;Estado;Provincial;Organismo estatal;Provincia de Tucumán;Provincia de Tucumán
0037;0037-1;3;Secretaría de Recursos Hídricos - Ministerio de Ambiente y Producción Sustentable de Salta;Estado;Provincial;Provincia de Salta;Salta (Ambiente y Producción);Secretaría de Recursos Hídricos - Ministerio de Ambiente y Producción Sustentable de Salta
0038;0038-2;2;Grupo de Cambio Rural Ñande Retá;Comunidad;?;?;Grupo de Cambio Rural Ñande Retá;Grupo de Cambio Rural Ñande Retá
0038;0038-1;2;SOTO MARIELA EDITH;Privado;Persona física;Persona física;SOTO MARIELA EDITH;SOTO MARIELA EDITH
0039;0039-2;2;LEANDRO NICOLAS GARCIA;Privado;Persona física;Persona física;LEANDRO NICOLAS GARCIA;LEANDRO NICOLAS GARCIA
0039;0039-1;2;SUSANA ELDA BENITEZ;Privado;Persona física;Persona física;SUSANA ELDA BENITEZ;SUSANA ELDA BENITEZ
0040;0040-1;2;Tecsan Ingeniería Ambiental SA;Privado;Empresa privada;SA;Tecsan Ingeniería Ambiental SA;Tecsan Ingeniería Ambiental SA
0040;0040-2;2;Universidad de Buenos Aires (UBA);Estado;Nacional;Universidad pública;UBA;UBA
0041;0041-2;2;Fundación Gran CHACO;Comunidad;Fundación;Organización social;Fundación Gran CHACO;Fundación Gran CHACO
0041;0041-1;2;Unión Industrial Formosa;Comunidad;Unión industrial;Cooperación empresaria o de productores;Unión Industrial Formosa;Unión Industrial Formosa
0042;0042-3;3;Bounous Hermanos S.A.I.M;Privado;Empresa privada;SA;Bounous Hermanos S.A.I.M;Bounous Hermanos S.A.I.M
0042;0042-2;3;Integral Agropecuaria SA;Privado;Empresa privada;SA;Integral Agropecuaria SA;Integral Agropecuaria SA
0042;0042-1;3;Universidad Nacional de Rafaela (UNRaf);Estado;Nacional;Universidad pública;UNRAF;UNRAF
0043;0043-4;4;Ministerio de Producción de la Provincia de Buenos Aires;Estado;Provincial;Gobierno provincial;Provincia de Buenos Aires;Buenos Aires (Producción)
0043;0043-3;4;Cremer Asociados SA;Privado;Empresa privada;SA;Cremer Asociados SA;Cremer Asociados SA
0043;0043-2;4;Justo y Martínez S.A.C.I.;Privado;Empresa privada;SA;Justo y Martínez S.A.C.I.;Justo y Martínez S.A.C.I.
0043;0043-1;4;Universidad Tecnológica Nacional;Estado;Nacional;Universidad pública;UTN;UTN
0044;0044-2;3;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
0044;0044-3;3;Consorcio de Gestión del Puerto de Bahía Blanca (CGPBB);Público-comunitario;Otro;Otro;Consorcio de Gestión del Puerto de Bahía Blanca (CGPBB);Consorcio de Gestión del Puerto de Bahía Blanca (CGPBB)
0044;0044-1;3;Universidad Tecnológica Nacional (UTN);Estado;Nacional;Universidad pública;UTN;UTN
0045;0045-2;2;Probio SRL;Privado;Empresa privada;SRL;Probio SRL;Probio SRL
0045;0045-1;2;Wicz SRL;Privado;Empresa privada;SRL;Wicz SRL;Wicz SRL
0046;0046-4;4;Consejo Nacional de Investigaciones Científicas y Técnicas, CEQUINOR (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CEQUINOR (CONICET)
0046;0046-2;4;CLORAR Ingeniería SA;Privado;Empresa privada;SA;CLORAR Ingeniería SA;CLORAR Ingeniería SA
0046;0046-3;4;Comisión Nacional de Energía Atómica (CNEA);Estado;Nacional;Organismo CyT público;CNEA;CNEA
0046;0046-1;4;YPF Tecnología SA;Estado;Empresa estatal;SA;Y-TEC;Y-TEC
0047;0047-2;2;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
0047;0047-1;2;YPF Tecnología SA;Estado;Empresa estatal;SA;Y-TEC;Y-TEC
0048;0048-1;1;Asociación Civil Consorcio Productivo de Servicios Rurales de Santa Sylvina Norte Nº 25;Comunidad;Asociación Civil;Cooperación empresaria o de productores;Asociación Civil Consorcio Productivo de Servicios Rurales de Santa Sylvina Norte Nº 25;Asociación Civil Consorcio Productivo de Servicios Rurales de Santa Sylvina Norte Nº 25
0049;0049-1;1;Asociación Santotomeña de pequeños productores 20 de junio;Comunidad;Asociación;Cooperación empresaria o de productores;Asociación Santotomeña de pequeños productores 20 de junio;Asociación Santotomeña de pequeños productores 20 de junio
0050;0050-1;1;Centro de Formación Profesional Agropecuaria N°2 Consejo Provincial de Educación;Estado;Provincial;Institución educativa;Centro de Formación Profesional Agropecuaria N°2 Consejo Provincial de Educación;Centro de Formación Profesional Agropecuaria N°2 Consejo Provincial de Educación
0051;0051-1;1;Centro Educativo para la Producción Total N° 2;Público-comunitario;Provincial;Institución educativa;Centro Educativo para la Producción Total N° 2;Centro Educativo para la Producción Total N° 2
0052;0052-1;1;Comunidad Indígena “El Angosto de Yacoraite”. Personería jurídica 0024663;Comunidad;Comunidad aborigen;Comunidad aborigen;Comunidad Indígena “El Angosto de Yacoraite”. Personería jurídica 0024663;Comunidad Indígena “El Angosto de Yacoraite”. Personería jurídica 0024663
0053;0053-1;1;Consejo Provincial de Educación. Centro de Formación Profesional Agropecuaria N° 2;Estado;Provincial;Gobierno provincial;Consejo Provincial de Educación. Centro de Formación Profesional Agropecuaria N° 2;Consejo Provincial de Educación. Centro de Formación Profesional Agropecuaria N° 2
0054;0054-1;1;Cooperativa 12 Olivos Limitada ;Comunidad;Cooperativa;Cooperativa agraria;Cooperativa 12 Olivos Limitada ;Cooperativa 12 Olivos Limitada 
0055;0055-1;2;Cooperativa 22 de Mayo de trabajo limitada;Comunidad;Cooperativa;;Cooperativa 22 de Mayo de trabajo limitada;Cooperativa 22 de Mayo de trabajo limitada
0055;0055-2;2;IMPA;Comunidad;Cooperativa;Cooperativa de trabajo;IMPA;IMPA
0056;0056-1;1;Escuela 6253 José de San Martín;Estado;Provincial;Institución educativa;Escuela 6253 José de San Martín;Escuela 6253 José de San Martín
0057;0057-2;2;Del Sur a la Victoria;Comunidad;?;Organización social;Del Sur a la Victoria;Del Sur a la Victoria
0057;0057-1;2;Escuela de Educación Media Número 2 “Arturo Jauretche”;Estado;Provincial;Institución educativa;Escuela de Educación Media Número 2 “Arturo Jauretche”;Escuela de Educación Media Número 2 “Arturo Jauretche”
0058;0058-1;1;Escuela de Educación Técnica N° 3122 General Martín Miguel de Güemes;Estado;Provincial;Institución educativa;Escuela de Educación Técnica N° 3122 General Martín Miguel de Güemes;Escuela de Educación Técnica N° 3122 General Martín Miguel de Güemes
0060;0060-1;1;Instituto de Educación Superior Nº023;Estado;Provincial;Institución educativa;Instituto de Educación Superior Nº023;Instituto de Educación Superior Nº023
0061;0061-1;1;MINISTERIO DE EDUCACION DE CORRIENTES- Escuela N 727 General Juan Madariaga . Paraje;Estado;Provincial;Institución educativa;Provincia de Corrientes;Escuela N 727 General Juan Madariaga (Corrientes)
0062;0062-1;1;Municipalidad de 25 de Mayo ;Estado;Municipal;Municipio o comuna;25 de Mayo;25 de Mayo
0063;0063-2;2;Municipalidad de 28 de Noviembre;Estado;Municipal;Municipio o comuna;28 de Noviembre;28 de Noviembre
0063;0063-1;2;Municipalidad de Río Turbio;Estado;Municipal;Municipio o comuna;Río Turbio;Río Turbio
0065;0065-1;1;Universidad Empresarial Siglo 21;Comunidad;?;Universidad privada;Universidad Empresarial Siglo 21;Universidad Empresarial Siglo 21
0066;0066-1;1;CONICET -Unidad Ejecutora Lillo-UEL;Estado;Nacional;Organismo CyT público;Instituto CONICET/Organismo CyT público;UEL (CONICET, FML)
0067;0067-1;1;Dario Vergara;Privado;Persona física;Persona física;Dario Vergara;Dario Vergara
0068;0068-1;1;3iA-EHyS-UNSAM. Instituto de Investigación e Ingeniería Ambiental, Escuela de Hábitat y Sostenibilidad, Universidad Nacional de San Martín;Estado;Nacional;Universidad pública;UNSAM;UNSAM
0069;0069-1;1;4 CGP's;Estado;Provincial;Ciudad autónoma;CABA;CABA (Comuna 4)
0070;0070-1;6;AADEE SA;Privado;Empresa privada;SA;AADEE SA;AADEE SA
0070;0070-3;6;Agropharma Salud Animal SA;Privado;Empresa privada;SA;Agropharma Salud Animal SA;Agropharma Salud Animal SA
0070;0070-2;6;Biochemq SA;Privado;Empresa privada;SA;Biochemiq SA;Biochemiq SA
0070;0070-6;6;Fundación de Investigaciones Biotecnológicas;Estado;Fundación;Asociación de apoyo a institución pública;Fundación de Investigaciones Biotecnológicas;Fundación de Investigaciones Biotecnológicas
0070;0070-5;6;Instituto Nacional de Tecnologia Industrial;Estado;Nacional;Organismo CyT público;INTI;INTI
0070;0070-4;6;Universidad Nacional San Martin;Estado;Nacional;Universidad pública;UNSAM;UNSAM
0071;0071-1;1;Abra Pampa;Estado;Municipal;Municipio o comuna;Abra Pampa;Abra Pampa
0072;0072-1;1;ACADEMIA NACIONAL DE MEDICINA DE BUENOS AIRES;Comunidad;Asociación civil;Asociación científica o profesional;ACADEMIA NACIONAL DE MEDICINA DE BUENOS AIRES;ACADEMIA NACIONAL DE MEDICINA DE BUENOS AIRES
0073;0073-1;10;Agencia de Desarrollo de Rafaela (ACDICAR);Comunidad;Asociación civil;Asociación de apoyo empresario/productivo;Agencia de Desarrollo de Rafaela (ACDICAR);Agencia de Desarrollo de Rafaela (ACDICAR)
0073;0073-8;10;APyMIL;Comunidad;Asociación civil;Asociación de apoyo empresario/productivo;APyMIL;APyMIL
0073;0073-9;10;Cassini Jorge A.;Privado;Persona física;Persona física;Cassini Jorge A.;Cassini Jorge A.
0073;0073-0;10;Cesaratto Jorge A;Privado;Persona física;Persona física;Cesaratto Jorge A;Cesaratto Jorge A
0073;0073-3;10;Instuituto Nacional de tecnología Agropecuaria;Estado;Nacional;Organismo CyT público;INTA;INTA
0073;0073-2;10;Instituto Nacional de Tecnología Industrial;Estado;Nacional;Organismo CyT público;INTI;INTI
0073;0073-5;10;Ricolact SRL;Privado;Empresa privada;SRL;Ricolact SRL;Ricolact SRL
0073;0073-4;10;Universidad Nacional del Litoral;Estado;Nacional;Universidad pública;UNL;UNL
0073;0073-6;10;Vila S.A.C.I.;Privado;Empresa privada;SA;Vila S.A.C.I.;Vila S.A.C.I.
0073;0073-7;10;Yeruvá SA;Privado;Empresa privada;SA;Yeruvá SA;Yeruvá SA
0074;0074-1;1;ACOVE (Asociación de productores viñateros y elaboradores de vino casero cordon de velazco);Comunidad;Asociación civil;Cooperación empresaria o de productores;ACOVE (Asociación de productores viñateros y elaboradores de vino casero cordon de velazco);ACOVE (Asociación de productores viñateros y elaboradores de vino casero cordon de velazco)
0075;0075-1;8;Acsur;Privado;Empresa privada;SA;Acsur;Acsur
0075;0075-6;8;Consejo Nacional de Investigaciones Cientificas y Tecnologicas;Estado;Nacional;Organismo CyT público;CONICET;CONICET
0075;0075-2;8;Cozzuol;Privado;Empresa privada;SA;Cozzuol;Cozzuol
0075;0075-4;8;Electroquímica Dem;Privado;Empresa privada;SRL;Electroquímica Dem;Electroquímica Dem
0075;0075-5;8;Laboratorios Químicos SRL;Privado;Empresa privada;SRL;Laboratorios Químicos SRL;Laboratorios Químicos SRL
0075;0075-3;8;Minarmc o SA;Privado;Empresa privada;SA;Minarmc o SA;Minarmc o SA
0075;0075-8;8;Universidad Nacional de Mar del Plata;Estado;Nacional;Universidad pública;UNMDP;UNMDP
0075;0075-7;8;YPF SA;Estado;Empresa estatal;SAPEM;YPF;YPF
0077;0077-1;1;Administración de Parques Nacionales;Estado;Nacional;Organismo CyT público;APN;APN
0078;0078-1;1;Administración de Parques Nacionales;Estado;Nacional;Organismo CyT público;APN;APN
0079;0079-1;1;Administración de Parques Nacionales;Estado;Nacional;Organismo CyT público;APN;APN
0080;0080-1;1;Administración Nacional de Laboratorios e Insitutos de Salud Dr. Carlos Malbrán (ANLIS);Estado;Nacional;Organismo CyT público;ANLIS Malbrán;ANLIS Malbrán
0081;0081-1;1;Administración Nacional de Laboratorios e Insitutos de Salud Dr. Carlos Malbrán (ANLIS);Estado;Nacional;Organismo CyT público;ANLIS Malbrán;ANLIS Malbrán
0082;0082-1;2;Administración Nacional de Laboratorios e Insitutos de Salud Dr. Carlos Malbrán (ANLIS);Estado;Nacional;Organismo CyT público;ANLIS Malbrán;ANLIS Malbrán
0082;0082-2;2;Universidad de Buenos Aires (UBA: Facultad de Farmacia y Bioquímica - FFyB);Estado;Nacional;Universidad pública;UBA;UBA
0083;0083-1;2;Administración Nacional de Laboratorios e Insitutos de Salud Dr. Carlos Malbrán (ANLIS);Estado;Nacional;Organismo CyT público;ANLIS Malbrán;ANLIS Malbrán
0083;0083-2;2;Instituto Nacional de Tecnología Agropecuaria (INTA);Estado;Nacional;Organismo CyT público;INTA;INTA
0084;0084-1;4;Administración Nacional de Laboratorios e Insitutos de Salud Dr. Carlos Malbrán (ANLIS);Estado;Nacional;Organismo CyT público;ANLIS Malbrán;ANLIS Malbrán
0084;0084-4;4;Inmunova;Privado;Empresa privada;SA;Inmunova;Inmunova
0084;0084-3;4;Laboratorios Britania;Privado;Empresa privada;SA;Laboratorios Britania;Laboratorios Britania
0084;0084-2;4;Universidad Nacional de San Martín;Estado;Nacional;Universidad pública;UNSAM;UNSAM
0085;0085-1;2;Administración Provincial del Agua (APA) de la Provincia del CHACO;Estado;Provincial;Gobierno provincial;Provincia de Chaco;Chaco (Agua)
