Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5
1364;1364-1;1;Fundación Instituto de Estudios y Acción Social (IDEAS);Comunidad;Fundación;Organización educativa o académica;Fundación Instituto de Estudios y Acción Social (IDEAS);Fundación Instituto de Estudios y Acción Social (IDEAS)
1365;1365-5;5;Biogénesis Bagó SA;Privado;Empresa privada;SA;Biogénesis Bagó SA;Biogénesis Bagó SA
1365;1365-1;5;Fundación Instituto Leloir;Comunidad;Fundación;Organismo CyT comunitario;Fundación Instituto Leloir;Fundación Instituto Leloir
1365;1365-4;5;Idehu-Consejo Nacional de Investigación Científica y Técnica;Estado;Nacional;Organismo CyT público;Instituto CONICET/Universidad Pública;IDEHU (CONCIET, UBA)
1365;1365-3;5;Inmunova;Privado;Empresa privada;SA;Inmunova;Inmunova
1365;1365-2;5;Laboratorio Azul Diagnóstico SA;Privado;Empresa privada;SA;Laboratorio Azul Diagnóstico SA;Laboratorio Azul Diagnóstico SA
1366;1366-1;1;Fundación Intecnor;Estado;Fundación;Asociación de apoyo a institución pública;Fundación Intecnor;Fundación Intecnor
1367;1367-1;1;Fundación INVAP;Estado;Fundación;Asociación de apoyo a institución pública;Fundación INVAP;Fundación INVAP
1368;1368-1;1;Fundación investigaciones médicas FUDIM;Estado;Fundación;Organismo CyT público;Provincia de San Juan;San Juan (Investigaciones Médicas)
1369;1369-1;1;Fundacion IPESMI;Comunidad;Fundación;?;Fundacion IPESMI;Fundacion IPESMI
1370;1370-1;2;Fundación Jean Piaget para el Desarrollo de la Educación y la Cultura del Nordeste;Comunidad;Fundación;Universidad privada;Fundación Jean Piaget para el Desarrollo de la Educación y la Cultura del Nordeste;Fundación Jean Piaget para el Desarrollo de la Educación y la Cultura del Nordeste
1370;1370-2;2;Universidad de la Cuenca del Plata;Comunidad;?;Universidad privada;Universidad de la Cuenca del Plata;Universidad de la Cuenca del Plata
1371;1371-1;1;Fundación Jujuy - Corazón del Norte Argentino;Comunidad;Fundación;Organización social;Fundación Jujuy - Corazón del Norte Argentino;Fundación Jujuy - Corazón del Norte Argentino
1372;1372-1;1;Fundación Karú Mapú;Comunidad;Fundación;Organización ambiental;Fundación Karú Mapú;Fundación Karú Mapú
1373;1373-2;2;Coopreativa Flor de Laburo Ltda;Comunidad;Cooperativa;Cooperativa de trabajo;Coopreativa Flor de Laburo Ltda;Coopreativa Flor de Laburo Ltda
1373;1373-1;2;Fundacion La Morera;Comunidad;Fundación;Organización social;Fundacion La Morera;Fundacion La Morera
1374;1374-1;1;Fundación Lázaro;Comunidad;Fundación;Organización social;Fundación Lázaro;Fundación Lázaro
1375;1375-1;1;Fundación Le Ralos;Comunidad;Fundación;Organización vinculada a salud o discapacidad;Fundación Le Ralos;Fundación Le Ralos
1376;1376-1;1;Fundación Leonardo Da Vinci;Comunidad;Fundación;Institución educativa;Fundación Leonardo Da Vinci;Fundación Leonardo Da Vinci
1377;1377-1;1;Fundación maní argentino;Comunidad;Fundación;;Fundación maní argentino;Fundación maní argentino
1378;1378-1;1;Fundación Miguel Lillo;Estado;Fundación;Organismo CyT público;Fundación Miguel Lillo;Fundación Miguel Lillo
1379;1379-1;2;Fundación Miguel Lillo;Estado;Fundación;Organismo CyT público;Fundación Miguel Lillo;Fundación Miguel Lillo
1379;1379-2;2;Telemática S.R.L;Privado;Empresa privada;SRL;Telemática S.R.L;Telemática S.R.L
1380;1380-1;1;Fundación MIRARES;Comunidad;Fundación;Organización social;Fundación MIRARES;Fundación MIRARES
1381;1381-1;1;Fundación misionera de ciencia y tecnología;Estado;Fundación;Gobierno provincial;Provincia de Misiones;Misiones (Fundación Misionera de CyT)
1382;1382-1;1;Fundación Mundo Sano;Comunidad;Fundación;Organización social;Fundación Mundo Sano;Fundación Mundo Sano
1383;1383-1;1;Fundación Nuestro Ambiente;Comunidad;Fundación;Organización ambiental;Fundación Nuestro Ambiente;Fundación Nuestro Ambiente
