Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5;tipoentidad;Idproyecto;año;fondo;instrumento;provincia;titulo;areatematicanormalizada;montorealxproyecto;montorealxpentidad;pentidad
1920;1920-1;1;Ministerio de Ciencia y Tecnología de la Provincia de Tierra del Fuego;Estado;;;Ministerio de Ciencia y Tecnología de la Provincia de Tierra del Fuego;Ministerio de Ciencia y Tecnología de la Provincia de Tierra del Fuego;beneficiario;1097;2017;COFECyT;RATEC ;TIERRA DEL FUEGO;RATEC 2017 - TIERRA DEL FUEGO;Reuniones; $ 18,157 ; $ 18,157 ;1
1921;1921-1;1;Ministerio de Ciencia y Tecnología de la Provincia de Tierra del Fuego;Estado;Provincial;Gobierno provincial;Provincia de Tierra Del Fuego;Tierra del Fuego (Ciencia y Tecnología);beneficiario;1922;2017;COFECyT;ASETUR;TIERRA DEL FUEGO;Primera guía de campo digital de especies fueguinas;Turismo; $ 76,863 ; $ 38,432 ;2
1922;1922-1;1;Ministerio de ciencia, tecnologia e innovacion de la provincia de Buenos Aires ;Estado;;;Ministerio de ciencia, tecnologia e innovacion de la provincia de Buenos Aires ;Ministerio de ciencia, tecnologia e innovacion de la provincia de Buenos Aires ;beneficiario;1074;2016;COFECyT;ROBOTICA ;BUENOS AIRES;ROBOTICA BUENOS AIRES 2016;Robótica; $ 213,044 ; $ 213,044 ;1
1923;1923-1;1;Ministerio de Ciencia, Tecnologia e innovacion de la provincia de Santa Fe ;Estado;;;Ministerio de Ciencia, Tecnologia e innovacion de la provincia de Santa Fe ;Ministerio de Ciencia, Tecnologia e innovacion de la provincia de Santa Fe ;beneficiario;1089;2016;COFECyT;ROBOTICA ;SANTA FE;ROBOTICA SANTA FE 2016 ;Robótica; $ 213,533 ; $ 213,533 ;1
1924;1924-1;1;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA;Estado;;;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA;beneficiario;428;2017;COFECyT;VITEF ;SANTA FE;VITEF 2017 - SANTA FE ;Vinculación tecnológica; $ 51,129 ; $ 51,129 ;1
1924;1924-1;1;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA;Estado;;;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA;beneficiario;1166;2019;COFECyT;VITEF ;SANTA FE;VITEF 2019 - SANTA FE ;Vinculación tecnológica; $ 30,446 ; $ 30,446 ;1
1925;1925-1;1;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA DE LA PROVINCIA DE SANTA FE;Estado;;;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA DE LA PROVINCIA DE SANTA FE;MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA DE LA PROVINCIA DE SANTA FE;beneficiario;1102;2017;COFECyT;RATEC ;SANTA FE;RATEC 2017 - SANTA FE;Reuniones; $ 18,157 ; $ 18,157 ;1
1926;1926-1;1;MINISTERIO DE CIENCIA, TECNOLOGIA E INOVACION;Estado;;;MINISTERIO DE CIENCIA, TECNOLOGIA E INOVACION;MINISTERIO DE CIENCIA, TECNOLOGIA E INOVACION;beneficiario;1106;2017;COFECyT;VITEF ;BUENOS AIRES;VITEF 2017 - BUENOS AIRES ;Vinculación tecnológica; $ 51,129 ; $ 51,129 ;1
1926;1926-1;1;MINISTERIO DE CIENCIA, TECNOLOGIA E INOVACION;Estado;;;MINISTERIO DE CIENCIA, TECNOLOGIA E INOVACION;MINISTERIO DE CIENCIA, TECNOLOGIA E INOVACION;beneficiario;1930;2019;COFECyT;VITEF ;BUENOS AIRES;VITEF 2019 - BUENOS AIRES ;Vinculación tecnológica; $ 30,446 ; $ 30,446 ;1
1927;1927-1;1;MINISTERIO DE COMERCIO EXTERIOR TURISMO E INVERSIONES del GOBIERNO DE LA PROVINCIA DEL CHUBUT;Estado;Provincial;Gobierno provincial;Provincia de Chubut;MINISTERIO DE COMERCIO EXTERIOR TURISMO E INVERSIONES del GOBIERNO DE LA PROVINCIA DEL CHUBUT;beneficiario;105;2009;COFECyT;ASETUR;CHUBUT;Turismo virtual Chubut.;Turismo; $ 75,717 ; $ 37,858 ;2
