N Registro;IDInst;Instrumento_INF;Título_INF;Fondo;Año;Proyectos adjudicados;Monto adjudicado nominal;Monto real adjudicado;;
203;49;FITS y FTS;Fondo de Innovación Tecnológica Sectorial y Fondo Sectorial;FONARSEC;2014; 37 ; $ 704,066,449 ; $ 191,823,969 ;;
204;49;FITS y FTS;Fondo de Innovación Tecnológica Sectorial y Fondo Sectorial;FONARSEC;2015; 4 ; $ 75,328,530 ; $ 16,213,757 ;;
205;46;Fondo de Co-Inversión ACIE;Fondo de Co-Inversión ACIE (Córdoba) y la Agencia I+D+i;FONTAR;2021; 5 ; $ 4,830,125 ; $ 127,773 ;;
206;55;FS-Plataformas;Fondos Sectoriales (Plataformas);FONARSEC;2011; 13 ; $ 162,494,518 ; $ 94,157,412 ;;
207;56;FS-Productos y Servicios;Fondos Sectoriales (Productos y Servicios);FONARSEC;2011; 15 ; $ 94,138,505 ; $ 54,548,535 ;;
208;50;FONREBIO;Fondo de Regulación de Productos Biotecnológicos;FONTAR;2016; 2 ; $ 16,681,391 ; $ 2,544,308 ;;
209;50;FONREBIO;Fondo de Regulación de Productos Biotecnológicos;FONTAR;2018; 3 ; $ 29,646,260 ; $ 2,526,525 ;;
210;50;FONREBIO;Fondo de Regulación de Productos Biotecnológicos;FONTAR;2019; 1 ; $ 17,032,820 ; $ 972,936 ;;
211;51;FS BIO-Agrobiotecnología;Fondos Sectoriales Biotecnología (Agrobiotecnología);FONARSEC;2010; 3 ; $ 16,788,773 ; $ 12,034,184 ;;
212;52;FS BIO-Vacunas;Fondos Sectoriales Biotecnología (Vacunas);FONARSEC;2010; 3 ; $ 67,842,938 ; $ 48,629,783 ;;
213;53;FS NANO;Fondos Sectoriales Nanotecnología;FONARSEC;2010; 8 ; $ 75,464,362 ; $ 54,092,816 ;;
214;54;FS TICs;Fondos Sectoriales TICs;FONARSEC;2010; 4 ; $ 53,077,643 ; $ 38,046,027 ;;
215;77;G-Tec;Programa de Formación de Gerentes y Vinculadores Tecnológicos;FONARSEC;2009; 7 ; $ 19,354,307 ; $ 16,774,745 ;;
216;77;G-Tec;Programa de Formación de Gerentes y Vinculadores Tecnológicos;FONARSEC;2017; 10 ; $ 5,061,899 ; $ 612,715 ;;
217;60;IP-COVID 19;Ideas-Proyecto COVID-19;FONARSEC;2020; 16 ; $ 69,496,314 ; $ 2,833,955 ;;
218;61;IP-COVID 19;Ideas-Proyecto COVID-19;FONCYT;2020; 25 ; $ 106,562,150 ; $ 4,345,445 ;;
219;61;IP-COVID 19;Ideas-Proyecto COVID-19;FONCYT;2021;; $ 6,539,680 ; $ 172,997 ;;
220;62;IP-COVID 19;Ideas-Proyecto COVID-19;FONTAR;2020; 18 ; $ 96,228,244 ; $ 3,924,043 ;;
221;64;KITS COVID-19;KITS COVID-19 basados en antígenos;FONARSEC;2021; 7 ; $ 79,691,909 ; $ 2,108,119 ;;
223;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2008; 54 ; $ 19,201,558 ; $ 19,201,558 ;;
224;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2009; 49 ; $ 19,237,557 ; $ 16,673,556 ;;
225;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2010; 96 ; $ 37,616,451 ; $ 26,963,453 ;;
226;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2011; 114 ; $ 49,960,463 ; $ 28,949,579 ;;
227;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2012; 86 ; $ 56,915,713 ; $ 26,963,029 ;;
228;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2013; 131 ; $ 89,769,473 ; $ 34,310,169 ;;
229;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2014; 107 ; $ 83,816,687 ; $ 22,835,983 ;;
230;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2015; 115 ; $ 96,763,272 ; $ 20,827,383 ;;
231;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2016; 59 ; $ 99,272,150 ; $ 15,141,362 ;;
232;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2017; 61 ; $ 209,990,117 ; $ 25,418,143 ;;
233;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2018; 171 ; $ 870,712,594 ; $ 74,204,200 ;;
234;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2019; 91 ; $ 537,734,591 ; $ 30,716,072 ;;
235;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2020; 58 ; $ 386,105,717 ; $ 15,744,812 ;;
236;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2021; 51 ; $ 330,274,692 ; $ 8,736,877 ;;
237;66;Observatorio Fonsoft;Observatorio Fonsoft;FONSOFT;2008; 2 ; $ 280,693 ; $ 280,693 ;;
238;91;PAE;Proyectos en Áreas Estratégicas;FONCYT;2008; 20 ; $ 103,669,149 ; $ 103,669,149 ;;
239;91;PAE;Proyectos en Áreas Estratégicas;FONCYT;2009; 1 ; $ 11,181,195 ; $ 9,690,954 ;;
240;91;PAE;Proyectos en Áreas Estratégicas;FONCYT;2010;; $ 2,954,054 ; $ 2,117,464 ;;
241;82;PCE;Proyectos Concertados con Empresas;FONCYT;2018; 16 ; $ 62,065,648 ; $ 5,289,382 ;;
242;82;PCE;Proyectos Concertados con Empresas;FONCYT;2020;; $ 809,699 ; $ 33,018 ;;
243;82;PCE;Proyectos Concertados con Empresas;FONCYT;2021; 3 ; $ 95,048,444 ; $ 2,514,351 ;;
244;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2008; 659 ; $ 128,556,911 ; $ 128,556,911 ;;
245;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2009; 596 ; $ 121,148,337 ; $ 105,001,565 ;;
246;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2010; 9 ; $ 1,554,696 ; $ 1,114,405 ;;
247;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2011; 844 ; $ 170,655,040 ; $ 98,886,024 ;;
248;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2012; 683 ; $ 139,332,560 ; $ 66,006,867 ;;
249;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2013; 1,039 ; $ 227,356,514 ; $ 86,896,359 ;;
250;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2014; 1,001 ; $ 259,394,955 ; $ 70,672,548 ;;
251;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2015; 1,092 ; $ 384,632,614 ; $ 82,788,548 ;;
252;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2016; 1,198 ; $ 598,704,139 ; $ 91,316,606 ;;
253;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2017; 1,393 ; $ 722,487,432 ; $ 87,453,111 ;;
254;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2018; 1,246 ; $ 779,953,252 ; $ 66,469,473 ;;
255;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2019; 1,335 ; $ 1,049,872,794 ; $ 59,970,047 ;;
256;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2020; 1,362 ; $ 1,359,882,438 ; $ 55,453,965 ;;
257;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2021; 1,558 ; $ 2,204,957,567 ; $ 58,328,546 ;;
258;72;PICT Aplicados;PICT de Aplicación Intensiva (BCIE?);FONCYT;2021; 88 ; $ 943,463,932 ; $ 24,957,795 ;;
259;71;PICT CI;PICT Cooperación Internacional;FONCYT;2008; 5 ; $ 1,474,175 ; $ 1,474,175 ;;
260;71;PICT CI;PICT Cooperación Internacional;FONCYT;2009; 21 ; $ 4,815,496 ; $ 4,173,682 ;;
261;71;PICT CI;PICT Cooperación Internacional;FONCYT;2010; 2 ; $ 600,000 ; $ 430,080 ;;
262;84;PICT-E;PICT Equipamiento (Unidades Ejecutoras de PICT);FONCYT;2014; 146 ; $ 171,930,871 ; $ 46,842,826 ;;
263;75;PICT Start Up;PICT Start Up;FONCYT;2016; 26 ; $ 20,737,414 ; $ 3,162,948 ;;
264;75;PICT Start Up;PICT Start Up;FONCYT;2017; 21 ; $ 19,372,500 ; $ 2,344,934 ;;
265;75;PICT Start Up;PICT Start Up;FONCYT;2018; 21 ; $ 22,672,934 ; $ 1,932,241 ;;
266;75;PICT Start Up;PICT Start Up;FONCYT;2019; 19 ; $ 22,004,325 ; $ 1,256,915 ;;
267;75;PICT Start Up;PICT Start Up;FONCYT;2020; 39 ; $ 69,198,868 ; $ 2,821,826 ;;
268;75;PICT Start Up;PICT Start Up;FONCYT;2021; 34 ; $ 104,321,167 ; $ 2,759,646 ;;
269;76;PICT Valorización;PICT Valorización;FONCYT;2013; 17 ; $ 8,835,000 ; $ 3,376,764 ;;
270;76;PICT Valorización;PICT Valorización;FONCYT;2015;; $ 1,665,649 ; $ 358,515 ;;
271;76;PICT Valorización;PICT Valorización;FONCYT;2016;; $ 1,630,218 ; $ 248,647 ;;
272;76;PICT Valorización;PICT Valorización;FONCYT;2017;; $ 3,842,005 ; $ 465,053 ;;
273;76;PICT Valorización;PICT Valorización;FONCYT;2018;; $ 146,500 ; $ 12,485 ;;
274;84;PICT-E;PICT Equipamiento (Unidades Ejecutoras de PICT);FONCYT;2020; 212 ; $ 631,961,383 ; $ 25,770,437 ;;
275;73;PICT-O;PICT Orientados;FONCYT;2008; 53 ; $ 6,377,237 ; $ 6,377,237 ;;
276;73;PICT-O;PICT Orientados;FONCYT;2009; 34 ; $ 5,190,708 ; $ 4,498,885 ;;
277;73;PICT-O;PICT Orientados;FONCYT;2010; 56 ; $ 6,069,949 ; $ 4,350,936 ;;
278;73;PICT-O;PICT Orientados;FONCYT;2011; 112 ; $ 23,210,211 ; $ 13,449,151 ;;
279;73;PICT-O;PICT Orientados;FONCYT;2012; 85 ; $ 8,333,778 ; $ 3,948,012 ;;
280;73;PICT-O;PICT Orientados;FONCYT;2013; 36 ; $ 4,325,073 ; $ 1,653,056 ;;
281;73;PICT-O;PICT Orientados;FONCYT;2014; 13 ; $ 11,159,153 ; $ 3,040,328 ;;
282;73;PICT-O;PICT Orientados;FONCYT;2015; 20 ; $ 2,930,925 ; $ 630,854 ;;
283;73;PICT-O;PICT Orientados;FONCYT;2017; 72 ; $ 25,420,897 ; $ 3,077,059 ;;
284;73;PICT-O;PICT Orientados;FONCYT;2018; 37 ; $ 6,530,556 ; $ 556,550 ;;
285;73;PICT-O;PICT Orientados;FONCYT;2019; 25 ; $ 6,521,883 ; $ 372,538 ;;
286;73;PICT-O;PICT Orientados;FONCYT;2020; 60 ; $ 24,745,795 ; $ 1,009,096 ;;
287;74;PICTO-COVID;PICT Orientado COVID;FONCYT;2021; 16 ; $ 141,163,487 ; $ 3,734,249 ;;
288;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2008; 13 ; $ 3,264,534 ; $ 3,264,534 ;;
289;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2009; 7 ; $ 9,909,015 ; $ 8,588,331 ;;
290;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2010; 3 ; $ 1,551,492 ; $ 1,112,109 ;;
291;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2011; 7 ; $ 7,274,276 ; $ 4,215,078 ;;
292;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2012; 9 ; $ 8,004,533 ; $ 3,792,036 ;;
293;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2013; 8 ; $ 12,527,911 ; $ 4,788,206 ;;
294;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2014; 12 ; $ 20,016,975 ; $ 5,453,655 ;;
295;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2015; 17 ; $ 23,350,102 ; $ 5,025,890 ;;
296;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2016; 4 ; $ 5,879,466 ; $ 896,758 ;;
297;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2017; 10 ; $ 17,245,016 ; $ 2,087,414 ;;
298;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2019; 5 ; $ 8,795,002 ; $ 502,382 ;;
299;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2021; 4 ; $ 12,539,602 ; $ 331,715 ;;
300;88;PID CLINICOS;Proyectos de Investigación y Desarrollos Clínicos;FONCYT;2016; 3 ; $ 5,923,076 ; $ 903,410 ;;
301;88;PID CLINICOS;Proyectos de Investigación y Desarrollos Clínicos;FONCYT;2017; 4 ; $ 7,986,626 ; $ 966,737 ;;
302;88;PID CLINICOS;Proyectos de Investigación y Desarrollos Clínicos;FONCYT;2018; 5 ; $ 9,420,546 ; $ 802,841 ;;
303;88;PID CLINICOS;Proyectos de Investigación y Desarrollos Clínicos;FONCYT;2019; 6 ; $ 11,498,800 ; $ 656,826 ;;
304;88;PID CLINICOS;Proyectos de Investigación y Desarrollos Clínicos;FONCYT;2020; 3 ; $ 5,997,000 ; $ 244,549 ;;
305;88;PID CLINICOS;Proyectos de Investigación y Desarrollos Clínicos;FONCYT;2021; 1 ; $ 2,000,000 ; $ 52,907 ;;
306;81;PISAC COVID-19;Proyectos asociativos de investigaciónen Ciencias Sociales y Humanas  COVID-19;FONCYT;2020; 19 ; $ 96,674,441 ; $ 3,942,239 ;;
307;93;PI-TEC;Proyectos Integrados de Aglomerados Productivos;FONTAR;2008; 8 ; $ 72,247,496 ; $ 72,247,496 ;;
308;93;PI-TEC;Proyectos Integrados de Aglomerados Productivos;FONTAR;2009; 2 ; $ 15,603,380 ; $ 13,523,746 ;;
309;93;PI-TEC;Proyectos Integrados de Aglomerados Productivos;FONTAR;2010;; $ 3,076,664 ; $ 2,205,351 ;;
310;93;PI-TEC;Proyectos Integrados de Aglomerados Productivos;FONTAR;2013;; $ 440,363 ; $ 168,308 ;;
311;89;PME;Proyectos de Modernización de Equipamiento;FONCYT;2008; 121 ; $ 65,800,302 ; $ 65,800,302 ;;
312;89;PME;Proyectos de Modernización de Equipamiento;FONCYT;2009;; $ 200,000 ; $ 173,344 ;;
313;89;PME;Proyectos de Modernización de Equipamiento;FONCYT;2016; 86 ; $ 681,194,493 ; $ 103,898,345 ;;
314;89;PME;Proyectos de Modernización de Equipamiento;FONCYT;2020;; $ 99,354,045 ; $ 4,051,509 ;;
315;89;PME;Proyectos de Modernización de Equipamiento;FONCYT;2021;; $ 513,101,427 ; $ 13,573,259 ;;
316;90;PPL;Proyectos de Plataformas Tecnológicas;FONCYT;2011; 4 ; $ 31,683,398 ; $ 18,358,938 ;;
317;90;PPL;Proyectos de Plataformas Tecnológicas;FONCYT;2012; 9 ; $ 68,886,036 ; $ 32,633,804 ;;
318;90;PPL;Proyectos de Plataformas Tecnológicas;FONCYT;2014; 2 ; $ 30,771,032 ; $ 8,383,614 ;;
319;90;PPL;Proyectos de Plataformas Tecnológicas;FONCYT;2016;; $ 2,172,222 ; $ 331,315 ;;
320;83;PRAMIN;Proyectos de Adecuación y/o Mejora de Infraestructura;FONCYT;2008; 163 ; $ 31,211,946 ; $ 31,211,946 ;;
321;79;PRH;Programa de Recursos Humanos;FONCYT;2008; 77 ; $ 124,008,622 ; $ 124,008,622 ;;
322;79;PRH;Programa de Recursos Humanos;FONCYT;2009; 1 ; $ 2,559,550 ; $ 2,218,411 ;;
323;79;PRH;Programa de Recursos Humanos;FONCYT;2010;; $ 3,526,705 ; $ 2,527,940 ;;
324;79;PRH;Programa de Recursos Humanos;FONCYT;2011; 39 ; $ 7,105,000 ; $ 4,116,991 ;;
325;79;PRH;Programa de Recursos Humanos;FONCYT;2012; 3 ; $ 960,350 ; $ 454,952 ;;
326;79;PRH;Programa de Recursos Humanos;FONCYT;2013; 15 ; $ 6,171,000 ; $ 2,358,575 ;;
327;79;PRH;Programa de Recursos Humanos;FONCYT;2014; 13 ; $ 6,457,961 ; $ 1,759,481 ;;
328;79;PRH;Programa de Recursos Humanos;FONCYT;2015; 16 ; $ 7,983,000 ; $ 1,718,266 ;;
329;79;PRH;Programa de Recursos Humanos;FONCYT;2016; 2 ; $ 1,640,000 ; $ 250,139 ;;
330;79;PRH;Programa de Recursos Humanos;FONCYT;2017; 11 ; $ 9,269,996 ; $ 1,122,082 ;;
331;80;PRH - PIDRI;Programa de Recursos Humanos - Radicación de Investigadores en Áreas Tecnológicas Prioritarias;FONCYT;2018; 14 ; $ 12,029,833 ; $ 1,025,211 ;;
332;80;PRH - PIDRI;Programa de Recursos Humanos - Radicación de Investigadores en Áreas Tecnológicas Prioritarias;FONCYT;2019; 8 ; $ 7,447,380 ; $ 425,404 ;;
333;80;PRH - PIDRI;Programa de Recursos Humanos - Radicación de Investigadores en Áreas Tecnológicas Prioritarias;FONCYT;2021; 4 ; $ 28,692,147 ; $ 759,004 ;;
334;85;PRIETEC;Proyectos de Readecuación de Infraestructura y Equipamiento Tecnológico;FONARSEC;2009; 44 ; $ 85,332,796 ; $ 73,959,555 ;;
335;85;PRIETEC;Proyectos de Readecuación de Infraestructura y Equipamiento Tecnológico;FONARSEC;2010; 7 ; $ 10,433,954 ; $ 7,479,053 ;;
336;85;PRIETEC;Proyectos de Readecuación de Infraestructura y Equipamiento Tecnológico;FONARSEC;2012;; $ 9,275,392 ; $ 4,394,088 ;;
337;85;PRIETEC;Proyectos de Readecuación de Infraestructura y Equipamiento Tecnológico;FONARSEC;2013;; $ 1,828,053 ; $ 698,687 ;;
338;85;PRIETEC;Proyectos de Readecuación de Infraestructura y Equipamiento Tecnológico;FONARSEC;2014; 13 ; $ 12,664,161 ; $ 3,450,370 ;;
339;85;PRIETEC;Proyectos de Readecuación de Infraestructura y Equipamiento Tecnológico;FONARSEC;2015;; $ 5,539,406 ; $ 1,192,305 ;;
340;67;PE - PPM;PE en Producción Pública de Medicamentos;FONARSEC;2021; 18 ; $ 795,522,142 ; $ 21,044,237 ;;
341;92;PE;Proyectos Estratégicos ;FONARSEC;2017; 11 ; $ 245,793,812 ; $ 29,751,983 ;;
342;92;PE;Proyectos Estratégicos ;FONARSEC;2018; 3 ; $ 35,545,190 ; $ 3,029,246 ;;
343;92;PE;Proyectos Estratégicos ;FONARSEC;2019; 2 ; $ 85,443,020 ; $ 4,880,612 ;;
344;94;RC;Reuniones Científicas;FONCYT;2008; 294 ; $ 2,606,649 ; $ 2,606,649 ;;
345;94;RC;Reuniones Científicas;FONCYT;2009; 314 ; $ 2,489,210 ; $ 2,157,446 ;;
346;94;RC;Reuniones Científicas;FONCYT;2010; 323 ; $ 3,487,186 ; $ 2,499,613 ;;
347;94;RC;Reuniones Científicas;FONCYT;2011; 208 ; $ 3,614,994 ; $ 2,094,707 ;;
348;94;RC;Reuniones Científicas;FONCYT;2012; 222 ; $ 3,982,516 ; $ 1,886,662 ;;
349;94;RC;Reuniones Científicas;FONCYT;2013; 228 ; $ 4,037,884 ; $ 1,543,292 ;;
350;94;RC;Reuniones Científicas;FONCYT;2014; 227 ; $ 3,489,789 ; $ 950,798 ;;
351;94;RC;Reuniones Científicas;FONCYT;2015; 230 ; $ 5,116,789 ; $ 1,101,341 ;;
352;94;RC;Reuniones Científicas;FONCYT;2016; 228 ; $ 6,465,746 ; $ 986,180 ;;
353;94;RC;Reuniones Científicas;FONCYT;2017; 214 ; $ 7,955,040 ; $ 962,914 ;;
354;94;RC;Reuniones Científicas;FONCYT;2018; 241 ; $ 10,672,726 ; $ 909,555 ;;
355;94;RC;Reuniones Científicas;FONCYT;2019; 143 ; $ 6,123,551 ; $ 349,785 ;;
356;94;RC;Reuniones Científicas;FONCYT;2021; 218 ; $ 21,906,426 ; $ 579,499 ;;
357;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2009; 11 ; $ 277,643 ; $ 240,638 ;;
358;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2010; 15 ; $ 335,678 ; $ 240,614 ;;
359;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2011; 14 ; $ 335,072 ; $ 194,157 ;;
360;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2012; 10 ; $ 295,970 ; $ 140,212 ;;
361;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2013; 19 ; $ 537,570 ; $ 205,461 ;;
362;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2014; 26 ; $ 902,300 ; $ 245,833 ;;
363;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2015; 12 ; $ 483,500 ; $ 104,069 ;;
364;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2016; 24 ; $ 1,592,766 ; $ 242,935 ;;
365;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2017; 15 ; $ 550,833 ; $ 66,675 ;;
366;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2018; 15 ; $ 1,261,500 ; $ 107,508 ;;
367;95;RC TIC;Reuniones Científicas TIC;FONSOFT;2019; 10 ; $ 1,022,500 ; $ 58,406 ;;
368;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2011; 9 ; $ 2,787,755 ; $ 1,615,364 ;;
369;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2012; 19 ; $ 4,834,638 ; $ 2,290,343 ;;
370;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2013; 17 ; $ 6,178,789 ; $ 2,361,552 ;;
371;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2014; 21 ; $ 8,157,961 ; $ 2,222,649 ;;
372;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2015; 14 ; $ 6,394,223 ; $ 1,376,296 ;;
373;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2016; 8 ; $ 5,719,685 ; $ 872,388 ;;
374;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2017; 16 ; $ 16,832,093 ; $ 2,037,432 ;;
375;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2019; 4 ; $ 15,461,691 ; $ 883,191 ;;
376;96;SNBDB;Sistema Nacional de Datos Biológicos;FONCYT;2010; 1 ; $ 224,443 ; $ 160,881 ;;
377;97;SNM;Sistema Nacional de Microscopía;FONCYT;2009; 19 ; $ 1,230,519 ; $ 1,066,514 ;;
378;97;SNM;Sistema Nacional de Microscopía;FONCYT;2010; 10 ; $ 447,641 ; $ 320,869 ;;
379;98;SNRM;Sistema Nacional de Resonancia Magnética;FONCYT;2010; 1 ; $ 115,000 ; $ 82,432 ;;
380;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2012; 4 ; $ 16,437,059 ; $ 7,786,829 ;;
381;32;CC;Certificados de calificación (beneficios fiscales);FONCYT;2014; 5 ;;;;
382;32;CC;Certificados de calificación (beneficios fiscales);FONCYT;2015; 15 ;;;;
383;32;CC;Certificados de calificación (beneficios fiscales);FONCYT;2013; 8 ;;;;
384;32;CC;Certificados de calificación (beneficios fiscales);FONCYT;2012; 13 ;;;;
385;42;EBT COVID-19;Empresas de Base Tecnológica COVID-19;FONARSEC;2020; 6 ; $ 59,557,910 ; $ 2,428,682 ;;
386;60;IP-COVID 19;Ideas-Proyecto COVID-19;FONARSEC;2021;; $ 2,838,804 ; $ 75,096 ;;
387;65;KITS COVID-19 EyE;KITS COVID-19 Escalamiento y exportación;FONARSEC;2020; 2 ; $ 19,939,147 ; $ 813,088 ;;
388;92;PE;Proyectos Estratégicos ;FONARSEC;2020;; $ 10,019,080 ; $ 408,563 ;;
389;82;PCE;Proyectos Concertados con Empresas;FONCYT;2022;; $ 3,481,892 ; $ 54,282 ;;
390;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2022; 1,519 ; $ 5,551,240,526 ; $ 86,543,206 ;;
391;69;PICT Aplicados Cat I y II;PICT Aplicados Cat I y II;FONCYT;2022; 90 ; $ 1,255,856,747 ; $ 19,578,663 ;;
392;75;PICT Start Up;PICT Start Up;FONCYT;2022; 6 ; $ 181,373,862 ; $ 2,827,598 ;;
393;84;PICT-E;PICT Equipamiento (Unidades Ejecutoras de PICT);FONCYT;2022;; $ 38,050,898 ; $ 593,209 ;;
394;73;PICT-O;PICT Orientados;FONCYT;2022; 72 ; $ 313,393,504 ; $ 4,885,769 ;;
395;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2022; 3 ; $ 15,960,000 ; $ 248,815 ;;
396;81;PISAC COVID-19;Proyectos asociativos de investigaciónen Ciencias Sociales y Humanas  COVID-19;FONCYT;2022;; $ 10,473,865 ; $ 163,286 ;;
397;89;PME;Proyectos de Modernización de Equipamiento;FONCYT;2022;; $ 11,930,000 ; $ 185,987 ;;
398;80;PRH - PIDRI;Programa de Recursos Humanos - Radicación de Investigadores en Áreas Tecnológicas Prioritarias;FONCYT;2022;; $ 2,206,561 ; $ 34,400 ;;
399;78;P Mov Fed;Programa de Movilidad Federal;FONCYT;2022; 63 ; $ 35,426,349 ; $ 552,293 ;;
400;94;RC;Reuniones Científicas;FONCYT;2022; 140 ; $ 27,513,577 ; $ 428,934 ;;
401;27;AADTI;Argentina Armónica con Desarrollo Tecnológico e Innovación;FONTAR;2022; 4 ; $ 96,816,973 ; $ 1,509,366 ;;
402;1;ANR + AR;Aportes no reembolsables + Aportes reembolsables;FONTAR;2022; 6 ; $ 68,232,323 ; $ 1,063,734 ;;
403;5;ANR ASOC;ANR Asociativos;FONTAR;2022; 3 ; $ 87,807,538 ; $ 1,368,909 ;;
404;7;ANR Capacidades;ANR Capacidades;FONTAR;2022; 52 ; $ 1,257,863,807 ; $ 19,609,953 ;;
405;13;ANR INT;ANR Internacional;FONTAR;2022; 3 ; $ 33,188,032 ; $ 517,398 ;;
406;17;ANR PDT;ANR Proyectos de Desarrollo Tecnológico;FONTAR;2022; 170 ; $ 2,774,371,197 ; $ 43,252,130 ;;
407;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2022; 14 ; $ 93,629,237 ; $ 1,459,669 ;;
408;24;AR;Aportes reembolsables;FONTAR;2022; 52 ; $ 1,857,432,864 ; $ 28,957,166 ;;
409;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2022; 1 ; $ 82,843,728 ; $ 1,291,524 ;;
410;4;ANR ASIS-Teci;ANR Asistencias Tecnológicas Individuales;FONTAR;2022; 8 ; $ 7,569,548 ; $ 118,008 ;;
411;31;CEN-TEC;Centros de Desarrollo Tecnológico;FONTAR;2022; 3 ; $ 2,820,097,516 ; $ 43,964,998 ;;
412;47;Fondo de Co-Inversión con provincias;Fondo de Co-Inversión con provincias;FONTAR;2022; 54 ; $ 295,847,684 ; $ 4,612,232 ;;
413;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2022; 76 ; $ 562,943,882 ; $ 8,776,231 ;;
414;99;Tecnotecas;Tecnotecas;FONTAR;2022; 1 ; $ 500,000,000 ; $ 7,794,943 ;;
415;33;CPI;Compras Públicas Innovadoras;FONARSEC;2022; 1 ; $ 32,695,000 ; $ 509,711 ;;
