N Registro;IDInst;Instrumento_INF;Título_INF;Fondo;Año;Proyectos adjudicados;Monto adjudicado nominal;Monto real adjudicado;;
50;13;ANR INT;ANR Internacional;FONTAR;2020; 3 ; $ 13,545,374 ; $ 552,360 ;;
51;13;ANR INT;ANR Internacional;FONTAR;2021; 2 ; $ 9,592,225 ; $ 253,747 ;;
52;14;ANR Int Fonsoft;ANR Internacional Fonsoft;FONSOFT;2014; 1 ; $ 1,405,800 ; $ 383,012 ;;
53;14;ANR Int Fonsoft;ANR Internacional Fonsoft;FONSOFT;2015; 10 ; $ 13,818,273 ; $ 2,974,253 ;;
54;14;ANR Int Fonsoft;ANR Internacional Fonsoft;FONSOFT;2018; 4 ; $ 7,123,221 ; $ 607,058 ;;
55;16;ANR P+L;ANR Producción Limpia;FONTAR;2008; 40 ; $ 7,983,234 ; $ 7,983,234 ;;
56;16;ANR P+L;ANR Producción Limpia;FONTAR;2009; 9 ; $ 2,120,875 ; $ 1,838,203 ;;
57;16;ANR P+L;ANR Producción Limpia;FONTAR;2017; 7 ; $ 19,029,765 ; $ 2,303,448 ;;
58;16;ANR P+L;ANR Producción Limpia;FONTAR;2018; 10 ; $ 26,676,878 ; $ 2,273,467 ;;
59;15;ANR Patentes;ANR Patentes;FONTAR;2008; 3 ; $ 109,618 ; $ 109,618 ;;
60;15;ANR Patentes;ANR Patentes;FONTAR;2009; 9 ; $ 412,508 ; $ 357,529 ;;
61;15;ANR Patentes;ANR Patentes;FONTAR;2010; 13 ; $ 648,510 ; $ 464,852 ;;
62;15;ANR Patentes;ANR Patentes;FONTAR;2014; 14 ; $ 1,538,115 ; $ 419,062 ;;
63;15;ANR Patentes;ANR Patentes;FONTAR;2015; 8 ; $ 1,585,767 ; $ 341,321 ;;
64;15;ANR Patentes;ANR Patentes;FONTAR;2017; 11 ; $ 2,453,004 ; $ 296,923 ;;
65;15;ANR Patentes;ANR Patentes;FONTAR;2018; 11 ; $ 1,659,740 ; $ 141,447 ;;
66;15;ANR Patentes;ANR Patentes;FONTAR;2019; 4 ; $ 1,562,789 ; $ 89,268 ;;
67;17;ANR PDT;ANR Proyectos de Desarrollo Tecnológico;FONTAR;2017; 248 ; $ 513,078,101 ; $ 62,105,269 ;;
68;17;ANR PDT;ANR Proyectos de Desarrollo Tecnológico;FONTAR;2018; 318 ; $ 761,326,792 ; $ 64,882,082 ;;
69;17;ANR PDT;ANR Proyectos de Desarrollo Tecnológico;FONTAR;2019; 72 ; $ 222,078,219 ; $ 12,685,386 ;;
70;17;ANR PDT;ANR Proyectos de Desarrollo Tecnológico;FONTAR;2021; 72 ; $ 820,135,697 ; $ 21,695,348 ;;
71;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2018; 1 ; $ 848,250 ; $ 72,290 ;;
72;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2020; 1 ; $ 1,920,000 ; $ 78,295 ;;
73;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2021; 6 ; $ 31,862,164 ; $ 842,861 ;;
74;20;ANR Social;ANR Social;FONTAR;2017; 17 ; $ 35,369,495 ; $ 4,281,282 ;;
75;20;ANR Social;ANR Social;FONTAR;2018; 16 ; $ 60,462,003 ; $ 5,152,716 ;;
76;20;ANR Social;ANR Social;FONTAR;2019; 1 ; $ 4,709,962 ; $ 269,039 ;;
77;2;ANR TEC;ANR Plataformas tecnológicas Bio Nano TIC;FONTAR;2014; 24 ; $ 10,093,389 ; $ 2,749,959 ;;
78;2;ANR TEC;ANR Plataformas tecnológicas Bio Nano TIC;FONTAR;2015; 74 ; $ 38,640,734 ; $ 8,317,054 ;;
79;100;ANR TEC II;ANR Plataformas tecnológicas Bio Nano TIC;FONTAR;2017; 158 ; $ 292,066,361 ; $ 35,353,019 ;;
80;100;ANR TEC II;ANR Plataformas tecnológicas Bio Nano TIC;FONTAR;2018; 2 ; $ 4,980,472 ; $ 424,448 ;;
81;24;AR;Aportes reembolsables;FONTAR;2021; 6 ; $ 191,218,348 ; $ 5,058,369 ;;
82;25;ARAI;Aportes reembolsables a Instituciones;FONTAR;2008; 10 ; $ 29,304,670 ; $ 29,304,670 ;;
83;25;ARAI;Aportes reembolsables a Instituciones;FONTAR;2009; 4 ; $ 19,652,428 ; $ 17,033,133 ;;
84;25;ARAI;Aportes reembolsables a Instituciones;FONTAR;2010; 5 ; $ 17,217,344 ; $ 12,341,383 ;;
85;25;ARAI;Aportes reembolsables a Instituciones;FONTAR;2011; 9 ; $ 32,055,109 ; $ 18,574,326 ;;
86;25;ARAI;Aportes reembolsables a Instituciones;FONTAR;2014;; $ 2,900,000 ; $ 790,109 ;;
87;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2013; 17 ; $ 184,352,598 ; $ 70,460,130 ;;
88;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2014; 4 ; $ 33,000,299 ; $ 8,990,981 ;;
89;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2015; 5 ; $ 46,677,517 ; $ 10,046,896 ;;
90;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2016; 10 ; $ 155,773,324 ; $ 23,759,133 ;;
91;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2017; 6 ; $ 90,828,936 ; $ 10,994,341 ;;
92;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2018; 6 ; $ 196,362,892 ; $ 16,734,513 ;;
93;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2019; 3 ; $ 193,764,506 ; $ 11,068,071 ;;
95;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2021; 2 ; $ 99,008,618 ; $ 2,619,111 ;;
96;3;ANR ASIS-TECg;ANR Asistencias Tecnológicas Grupales;FONTAR;2017; 5 ; $ 2,035,699 ; $ 246,410 ;;
97;4;ANR ASIS-TECi;ANR Asistencias Tecnológicas Individuales;FONTAR;2017; 17 ; $ 2,319,197 ; $ 280,726 ;;
98;4;ANR ASIS-TECi;ANR Asistencias Tecnológicas Individuales;FONTAR;2018; 2 ; $ 240,808 ; $ 20,522 ;;
99;28;Becas JPT;Becas Jóvenes Profesionales TIC;FONSOFT;2013; 140 ; $ 7,000,000 ; $ 2,675,422 ;;
100;28;Becas JPT;Becas Jóvenes Profesionales TIC;FONSOFT;2014; 236 ; $ 15,460,000 ; $ 4,212,100 ;;
